Kalimat,Label,Prediksi_NB,Prediksi_SVM,Prediksi_lstm
alf wkwkwk bener lagi,positif,positif,positif,positif
ting ting bosen lokaall,negatif,negatif,negatif,negatif
maju beruang petir akar khh,negatif,negatif,negatif,negatif
rubah ayo suppo lokal ayo support ngomong ngomong cek feed ig,positif,positif,positif,positif
baru sadar tah,positif,positif,positif,positif
informasi kan thrift shop lokal,negatif,positif,positif,positif
ganggu kereta cepat bom selesai,negatif,negatif,negatif,negatif
seperti laah barang monza beli,negatif,negatif,negatif,negatif
pajak bea cukai mahal rugi masyarakat,negatif,negatif,negatif,negatif
dapet hahaha,positif,negatif,positif,negatif
lagi di jalan jual thrift special lokal brand beli second brand mending beli second brand lokal,negatif,negatif,negatif,negatif
kerja indonesia negeri bang,positif,positif,positif,positif
awokwok sekali,negatif,negatif,negatif,negatif
ingin pajak larang impor baju bekas,negatif,negatif,negatif,negatif
but the harga is jadi cheap dapat kamu pakai the umkm untuk have cheap harga like this,positif,negatif,positif,negatif
tetapi bgs tidak ada ngeduain,negatif,negatif,negatif,negatif
iri bos,negatif,negatif,negatif,negatif
daripada kaos partai lihat katalog thrift,negatif,negatif,negatif,negatif
tolong pang alih usaha rakyat rata beisi pasar pa umkm lokal pasar barang second pasar beda pasar tolong banar,negatif,negatif,negatif,positif
waw jadi bahan lomba debat sekolah saya,negatif,negatif,negatif,negatif
beras bawang import,positif,positif,positif,positif
bersukur perintah karena orang usaha,negatif,negatif,negatif,negatif
beli produk eiger brand lokal asing yaa,positif,positif,positif,positif
tadina abi bade usaha eta jokowi bareng ayang abi,positif,negatif,negatif,negatif
apakabar import beras duli sejahtera tani lokal,positif,positif,positif,positif
sabar prelover,positif,positif,positif,positif
aduh ni atur banget kaya beri biaya hidup warga korupsi usaha pakai uang pakai uang negara bobo nyenyak halal,negatif,negatif,negatif,negatif
mending original lokal,negatif,positif,negatif,negatif
tuju dukung larang pakai bekas impor,positif,negatif,negatif,negatif
kulo ki komentar jowo sing sampean golet,positif,positif,positif,positif
lokal murah and epikk,positif,positif,positif,negatif
sudah bener pakai kaos red bull tetapi bahan tipis sedikit outfit favorit mas mas proyek bangun,negatif,negatif,negatif,negatif
ganggu bisnis indonesia kali,negatif,negatif,negatif,negatif
tenaga kerja idonesia tenaga kerja idonesia bagaimana itu mas,positif,positif,positif,positif
dala malas,negatif,negatif,negatif,negatif
murah cakep suka,positif,positif,positif,positif
ganggu,negatif,negatif,negatif,negatif
kaos partai ae brow,negatif,negatif,negatif,negatif
suka ngethrift,positif,positif,positif,positif
tanggap bos trift,positif,positif,positif,positif
ngomong ngomong impor beras panen raya menggangu harga padi tani,positif,negatif,positif,positif
tim pakai kaos ribu cekk,negatif,negatif,negatif,negatif
solusi,positif,positif,positif,positif
thrifting brand indonesia kena,negatif,negatif,negatif,negatif
halah,negatif,negatif,negatif,negatif
bahan bagus negeri lho bekas menang brand,negatif,negatif,negatif,negatif
barang kualitas premium bekas tetapi tidak jelek brand indonesia tampar informasi karena saking thrifting karena brand indonesia tidak update kualitas,negatif,positif,negatif,negatif
jual kaos suka bekas tetapi emang jual kaos,negatif,negatif,negatif,negatif
brand lokal bahan enak cuttingannya cakep uni kamu,positif,positif,negatif,positif
pakk sstt diem ahh usaha presiden anak konten kreator usaha beli kitaa dagang goreng beli adidas mah berfikir nyarinya second brand sesal nyoblos deh,negatif,negatif,negatif,positif
dikenain pajak,negatif,negatif,negatif,negatif
kak cek cek,negatif,negatif,negatif,negatif
jijik beli baju bekas minimal beli matahari online kaos cm rban ngenesnya beli baju bekas,negatif,positif,negatif,negatif
lagi di jalan pakai kaos partai,negatif,negatif,negatif,negatif
tidak mashog,negatif,negatif,negatif,negatif
umr daerah rendah lur beli baju lokal murah sudah minus turun warna sobek lur ujung ujung beli lur beli kualitas bagus harga mahal lur dapat pas pas an lur hidup indonesia cinta baju rumah ku lur sudah minuslur beli murah berfikir beli mahal lur orang orang nyari baju murah daya tahan banting lvl ngethirft sebenernya lur lur thirft mah pacu industri lokal pride ikut alur fashion hype lur contoh ni jaket gelembung industri lokal ramai laku lur gropcore daki krikil coffe shop industri lokal ramai industri lokal kembangin thirft begitu begitu begitu tren kaos sweater hoodie sampai mampus,negatif,positif,negatif,negatif
mahal deh murah mah hayuu like that tara ra ra tara ra ra,positif,positif,negatif,positif
cinta produk indonesia,positif,positif,positif,positif
maksa banget,negatif,positif,positif,positif
rusak produk china,positif,positif,positif,positif
urusin pajak,negatif,negatif,negatif,negatif
maju industri negeri brand pampang mall mall isi umkm chuakzz,negatif,negatif,negatif,negatif
jakarta youtuber mula mampir kuy,negatif,positif,positif,positif
bisa blokir kasih solusi barang murah bagus kualitas kantong orang kelas kerja gaji dihh,positif,positif,positif,negatif
gerbong kereta ngethrift jepang indonesia inka kereta thrift fashion larang tetapi gerbong kereta fasilitas masyarakat kasih bekas negara orang,negatif,negatif,negatif,negatif
bisnis impor bahan pangan ganggu tani lokal,negatif,negatif,negatif,negatif
lokal brand bagus mahal,negatif,positif,positif,negatif
ngeri barang jelek,negatif,negatif,negatif,negatif
cie stalking haha jujur saya brand lokal,negatif,negatif,negatif,negatif
orang lancar rejekinya like komen sekarang klik love klik kali komentar langsung auto like selamat coba,positif,positif,positif,negatif
kursi dpr henti jual,negatif,negatif,negatif,negatif
tolongin kawal baubau,negatif,negatif,negatif,negatif
miskin rakyat kaya jabat saing indonesia sudah bersih bebas dari kkn putus ditindaklanjutin lapang issue dari jabat bidang kendali surplus defisit dapat negara belum tegas ngerecokin power hidup gantung dari usaha thrift harap bhwa perintah pikir hidup depan,negatif,negatif,negatif,negatif
kaos partai banteng sudah tembus thriftshop jepang,negatif,negatif,negatif,negatif
suka unboxing bal balan sudah sentil pakde ayo produk ukm tidak kalah,positif,positif,positif,positif
bagaimana bisnis sma boss ical aman,positif,negatif,positif,positif
tidak mau pakai baju sama,positif,positif,positif,positif
thriftingan is better,positif,positif,positif,positif
brand lokal nama lokal tetapi harga rb mending beli beras karung,positif,positif,positif,negatif
bahaya ta,negatif,negatif,negatif,negatif
ganggu koruptor negeri hadeh,negatif,negatif,negatif,negatif
netizen budiman tahu ngelike komentar tekan tombol love tekan kali kalimat,negatif,negatif,negatif,negatif
mending emang ngepet fi smt,negatif,negatif,negatif,negatif
hallo bagaimana barang kau palsu edar pasar indonesia usaha lokal rugi efek palsu barang produk tindak edar indonesia,positif,positif,negatif,negatif
hayoo brand titip undang undang,positif,positif,negatif,negatif
seleb pakai brand perancis kasihan deh kena atur government,negatif,negatif,negatif,negatif
pakai negeri ribu pakai bekas rupiah,positif,positif,positif,positif
pakai bekas menggangu mnggnggu koruptor,positif,negatif,positif,positif
bagaimana impor beras dan lain,negatif,negatif,negatif,negatif
lokal motif beruang petir,negatif,negatif,negatif,negatif
mending lokalbrand,negatif,negatif,negatif,negatif
korupsi ganggu,negatif,negatif,negatif,negatif
ngethrift kebahagian maaf bngtt,negatif,negatif,positif,positif
thrift model lucu rare item murce lagi,negatif,negatif,negatif,negatif
basmi,negatif,negatif,negatif,negatif
juang cari pulau batu capai,negatif,negatif,negatif,negatif
baju deh,positif,positif,positif,positif
informasi baju partai sek enek,negatif,negatif,positif,positif
mending jual baju beruang petirr cuakk,positif,negatif,negatif,negatif
cinta produk lokal,positif,positif,positif,positif
pupus kah gais,negatif,negatif,negatif,negatif
pakai baju bekas bekas orang ku kenal,positif,positif,positif,positif
mati jalur rezeki hahaha,negatif,positif,positif,negatif
kembali tingkat kondisi angka ekonomi tetapi begini rakyat ajar hidup sederhana sederhana barang murah sudah senang seperti ujung,negatif,positif,negatif,positif
baju thrift bagus murah,positif,positif,positif,positif
beli,negatif,negatif,negatif,negatif
beli baju partai ajala vintage,positif,negatif,negatif,negatif
import beras ganggu tani negeri presiden,positif,positif,positif,positif
mending kaos partai gambar sapi sihh,negatif,negatif,negatif,negatif
susah ngethrift,negatif,negatif,negatif,negatif
sudah nyaman pakai kaos partai,positif,positif,negatif,positif
bang sudah bang,positif,negatif,negatif,positif
muke kamu ganggu siswa ajar,negatif,negatif,negatif,negatif
gausa thrift an,negatif,negatif,negatif,negatif
solusi sabar sampai periode,positif,positif,positif,positif
im not with kamu in this mr president this is not how we treat free trade,positif,negatif,negatif,negatif
aneh nyata this is indonesia,positif,negatif,negatif,negatif
produk lokal keluar produk lihat ramai thrift wkwk lagi ramai gelembung produk gelembung ramai vest tactical keluar vest ramai jacket vintage flight ramai ramai produk vintage wkwk iya tidak sih yak wkwk,negatif,negatif,negatif,negatif
sdm rendah,negatif,negatif,negatif,negatif
ganggu oknum beda barang import apa oknum bagi menggangguu,negatif,negatif,negatif,negatif
impor garam beras ganggu industri negeri,negatif,negatif,negatif,negatif
tees beruang petir sekarang,negatif,negatif,negatif,negatif
kangen baju merk darbost,positif,positif,positif,positif
kemaren impor produk ganggu indutri negeri tuju tuju impor beras dan bagai ganggu bahan pangan lokal tani lokal just my opinion,negatif,negatif,negatif,negatif
ketat barang trifting begitu masuk indonesia bagaimana barang bekas tidak tau bawa virus dari,negatif,negatif,negatif,negatif
level up your busines jadi barang thrift compete grow with your own way,negatif,negatif,negatif,negatif
inti sesuai dompet samping gengsi ges fungsi pakai lindung tubuh tutup aurat silah beli brand lokal mensupport umkm indonesia,positif,positif,positif,negatif
saya beli brand negeri brandnya kenal,negatif,positif,negatif,negatif
nt parah mah brader,negatif,negatif,negatif,positif
iya pa pakai baju partai bangga bapa,positif,negatif,positif,positif
koruptor rusak,negatif,negatif,negatif,negatif
hilang beban minus akhlak,negatif,negatif,negatif,negatif
informasi sneakers lokal rekomended,negatif,positif,positif,positif
bagaimana tanggap,positif,positif,positif,positif
emang kendara edar indonesia ganggu brand lokal,negatif,negatif,negatif,negatif
orang negara tidak pakai baju jual negeri pakai buat negeri bagus jersey pakai main mu indonesia tidak tidak ngefek kena ooppss sorry guys kidding,negatif,negatif,negatif,negatif
apasih,negatif,negatif,negatif,negatif
yaelah ingin thrifting kaos partai,negatif,negatif,negatif,negatif
saran baik dalem ngoreksi kaos koment beras import beras indonesia bagus eksport bagaimana bagaimana,negatif,positif,positif,positif
kalimat mana min,negatif,negatif,negatif,negatif
enak bagaimana,positif,positif,positif,positif
urus tolong bapa mending urus situs judi online,positif,negatif,negatif,negatif
bawah rugiin rakyat mending urusin urus rugi tidak,negatif,negatif,negatif,negatif
lokal brand harga ngotak wajar orang orang pindah baju bekas,positif,positif,positif,positif
atur atur menteri dagang permendag nomor barang larang ekspor barang larang impor maksud jokowi dasar permendag salah,negatif,negatif,negatif,negatif
singlet sudah,positif,positif,positif,positif
budaya pakai produk clothing line lokal broo,positif,positif,positif,positif
impor barang lain,negatif,negatif,negatif,negatif
impor beras bawang pangan resah tani,negatif,negatif,negatif,positif
beli baju thrift hemat gaji,positif,negatif,negatif,positif
munafik tampil,negatif,negatif,negatif,negatif
mending belanja kaka harga murah kualitas okee lohh,positif,positif,positif,positif
baju bekas orang tinggal,positif,positif,positif,positif
lahan kerja lokal habis impor,positif,positif,positif,positif
jual baju preloved kakak hihi,positif,positif,positif,positif
perintah trifht kereta jpg,negatif,negatif,negatif,negatif
karena bisnis jabat join awas,negatif,negatif,positif,negatif
lebay,negatif,negatif,negatif,negatif
merah biru krak fix ka baju nih wkwwkk babayy thrift,positif,negatif,negatif,negatif
jan lupa mampir kak,negatif,positif,negatif,positif
kerja impor afdol,positif,positif,positif,positif
hayo kaum trifting,positif,positif,positif,positif
harga pakai lokal masyarakat ganteng cantik budget pas pas,positif,positif,positif,positif
marketnya tidak usah repot,negatif,negatif,negatif,negatif
jual baju produk lokal tuju,positif,positif,positif,positif
