,username,comment,Pre-processing,label_sentimen,score,sentimen_numerik
254,edwnsl,Lihat produknya kalah saing sama barang bekas uwow,lihat produk kalah saing barang bekas uwow,positif,0.057499999999999996,1
255,lewlewlewwwww,BRAND LOKAL HARGA INTERNASIONAL,brand lokal harga internasional,positif,0.6124,1
256,dffmln_,ya kalo brand lokal ga overprice dengan modal embel embel lokal ya gpp,brand lokal overprice modal embel embel lokal tidak-apa-apa,negatif,-0.15360000000000007,0
257,andretaulagi,NINDAS YG KECIL MULU,nindas mulu,positif,0.20879999999999999,1
258,dmd.joudyisvara,Mending @bloodnbonebali aja bismillah alpha pants 😬,mending bismillah alpha pants,positif,0.2277999999999999,1
259,anxygone,yg lokal motifnya beruang petir semua,lokal motif beruang petir,negatif,-0.6124,0
260,nopaltsz,Pake beruang yang ada petirnya ⚡️⚡️⚡️⚡️,pakai beruang petir,negatif,-0.6124,0
261,xnruf,@adenurma apa tanggapan mba ade?,tanggap mbak ada,positif,0.26259999999999994,1
262,nine_bedu,Teu sawios tutup weh da seer picarioseun,tidak sawios tutup weh da seer picarioseun,negatif,-0.875,0
263,tomohandart,ramah lingkungan 🔥,ramah lingkung,positif,0.17819999999999991,1
264,d4diii,pake kaos partai jo,pakai kaos partai jangan,negatif,-0.875,0
265,niatanjung31,Jadi kami harus pakai kaos partai gambar banteng gitu? Udah gakbisa ngasih lapangan kerja sok² ngatur,pakai kaos partai gambar banteng begitu sudah tidak bisa beri lapang kerja sok atur,negatif,-0.01419999999999999,0
266,fajarsukarno_,"Dan disisi gw sebagai penikmat Fashion,Plis Brand Brand Lokal kalau udah terkenal jangan keasikan naikin Kuantitas dan ga naikin/pertahankan Kualitas. Belum lagi ada Brand Lokal yang kebanyakan Gimmick Limited Edition biar harganya tergoreng sampe berjuta juta tapi kualitasnya hadeh,masi kalah sama Local Designer Brand di harga yang sama. Hehehe gitu aja. Mumpung udah dibantuin pemerintah tuh sekarang biar UMKM Naik katanya. Buruan gerak",sisi saya nikmat fashion mohon brand brand lokal sudah kenal asi naikin kuantitas naikin tahan kualitas brand lokal banyak gimmick limited edition harga goreng sampai juta juta kualitas hadeh masih kalah lokal designer brand harga hehehe begitu mumpung sudah dibantuin perintah umkm buru gerak,positif,0.0015000000000000568,1
267,rdigoyy,Mau beli yg brand lokal tp bnyk beruang petirr hmmmm,beli brand lokal tetapi banyak beruang petirr hmm,negatif,-0.04959999999999998,0
268,slsbilasyfdzra_,"drpd kaos partai 🙃 *lanjut liat katalog thrift""",daripada kaos partai lihat katalog thrift,negatif,-0.10599999999999998,0
271,lutfi_ahmad1509,@bibitdilli dunia trhift sedang tidak baik2 saja pak,dunia trhift,negatif,-0.20879999999999999,0
272,remedial707,Kang thrift pada panas wkwkwkw,kang thrift panas wkwkwkw,positif,0.10599999999999998,1
273,30_bayy,"Produk lokal juga banyak yang bagus sebenarnya, cuma kan untuk *kita* yang ingin punya barang brand luar kebantu banget dengan adanya thrifting, yaaa walaupun bekas tapi masih layak bgt buat dipake.",produk lokal bagus barang brand bantu banget thrifting yaa bekas layak banget pakai,positif,0.0030999999999999917,1
274,erikchyn,Bukan nya bersukur pemerintah krna jadi banyak orang usaha,bersukur perintah karena orang usaha,negatif,-0.625,0
277,ghufronm_,Tumben nyampe pusat 👀,tumben sampai pusat,negatif,-0.04959999999999998,0
278,mfr_1994,Iri Bilang Bos!🤣,iri bos,negatif,-0.17819999999999991,0
280,nggaprastyo,"Dengan segala hormat, saya pikir korupsi lebih mengganggu. Lalu kalo sudah begini solusinya apa Bang Messi?? untuk anak muda yang sudah kadung mulai bisnis tersebut dan sudah keluar modal banyak?? Apakah dibiarkan tidak berpenghasilan dan jadi pengangguran?? Semoga ketemu win win solution nya.",hormat pikir korupsi ganggu solusi bang messi anak muda kadung bisnis modal biar hasil anggur moga ketemu menang menang solution,negatif,-0.007800000000000029,0
281,kawanbermain_,Aku cinta  thrifting sebab kita tidak mampu bayar biaya bea cukai dan hanya dipakai buat pamer kekayaan 😆😆,cinta thrifting bayar biaya bea cukai pakai pamer kaya,negatif,-0.07840000000000003,0
282,fratnaaaa,"Fast fashion di indonesia ini bukan hanya “Second atau Thrift” tapi ada produk impor ke indonesia dengan merk ternama yang berada di Mall, bahkan seluruh Mall ada. Jika pun akan di buat per UUD nya, berarti brand besar yang menjual barang baru juga ga di bolehin masuk ke Indonesia dong, harus adil jika “Second atau Thrift” di larang masuk, dan brand lainnya juga ga boleh masuk.

Di indonesia ini banyak sekali para pengangguran akhirnya punya sumber penghasilan utama nya dari menjual Barang-barang bekas, kalau di stop, bisa ga kasih peluang usaha lain nya misal kasih modal usaha sebesar harga 2 ball thrift? 

Aku juga jualan baju second tapi di jamin bersih karena di laundry sehabis bongkar ball, sumber utama cari uang untuk anakku dari Thrift. Masa aku dari kelas menegah kebawah jadi kelas kebawah sih?",fast fashion indonesia second thrift produk impor indonesia merk nama mall mall uud brand jual barang bolehin masuk indonesia adil second thrift larang masuk brand masuk indonesia anggur sumber hasil utama jual barang barang bekas stop kasih peluang usaha kasih modal usaha harga ball thrift jual baju second jamin bersih laundry habis bongkar ball sumber utama cari uang anak thrift kelas tegah bawah kelas bawah,negatif,-0.0037000000000000366,0
285,fadlanattalaa,Paling bener beli anduk gucci,bener beli anduk gucci,positif,0.07219999999999993,1
286,nndindh,@siscaaaap sepertinya suda tida bole mge thrift,suda tida boleh mge thrift,positif,0.4588,1
288,aafeed.gemash,"Nah gitu mengakui aja gausah bawa embel"" virus penyakit dll 🙂 masa iya udah di cuci steam pake embel"" virus🤣 emang kalah kualitas produk"" indonesia pak harga nya mahal kualitas bobrok yang bikin beberapa orang suka thrift karena lebih murah dan kualitas jauh lebih baik barang"" indo👍🏻
(okelah kalo barang thrift di berhentikan di indonesia , apa solusinya biar bahan"" di indonesia menurun?) @jokowi  kenapa nggak bikin sistem kayak diluar negeri aja? beli baju terus udah bosen di jual ketempat olah ball di press kita dapet duit dan bisa beli lagi pake uang tambahan dari baju yang kita jual tadi? @jokowi",begitu aku tidak usah bawa embel virus sakit dan lain iya sudah cuci steam pakai embel virus emang kalah kualitas produk indonesia harga mahal kualitas bobrok orang suka thrift murah kualitas barang indonesia oke barang thrift henti indonesia solusi bahan indonesia turun tidak sistem seperti luar negeri beli baju sudah bosen jual tempat olah ball press dapet duit beli pakai uang tambah baju jual,negatif,-0.0010999999999999899,0
289,arrr.gabriel,untung gapernah thrifting,untung tidak pernah thrifting,negatif,-0.2277999999999999,0
290,rundfp,Kalo ujung ujungnya disuruh pake brand “Local” yang kebanyakan “MENJIPLAK” brand luar yaa buat apa?bikin malu doang ujung ujungnya brand local tapi “menjiplak” brand luar🤣 mau sebut merk sih cuma ya begimana ngeri dibilang “mematikan rezeki” orang,ujung ujung suruh pakai brand lokal banyak jiplak brand yaa malu saja ujung ujung brand lokal jiplak brand merk begimana ngeri bilang mati rezeki orang,negatif,-0.043399999999999994,0
291,bulanhly,"Bapak/Ibu/Abang/kakak saya mahasiswa IPB angkatan 2019 sedang penelitian untuk skripsi sata analisis niat beli pakaian bekas🙏 jikaa bapk/ibu/abang/kakak bersedia saya minta bantuannya untuk mengisi kuesioner pada link

 https://ipb.link/kuesioner-thrift

Terima kasih banyak🥹🥹🥹 semoga ibu bapak abang kakak sekalian selalu sehat dan dimudahkan segala urusannya🙏 aamiin aamiin",abang kakak mahasiswa ipb angkat teliti skripsi sata analisis niat beli pakai bekas jikaa bapk abang kakak sedia bantu isi kuesioner taut https ipb taut kuesioner thrift terima kasih moga abang kakak sehat mudah urus aamiin aamiin,positif,0.006500000000000061,1
292,_upstuff,"Permisi, lumayan buat promosi hehe",permisi lumayan promosi,negatif,-0.20879999999999999,0
294,josephimm,Mana aja yg lebih bagus dan murah gua beli. Gak mandang baju impor kah baju ekspor kah baju kompor kah. Selagi murah dan bagus gua beli!!! wkwk,bagus murah saya beli mandang baju impor kah baju ekspor kah baju kompor kah selagi murah bagus saya beli wkwk,negatif,-0.010000000000000009,0
297,febbbbbbbri,iri bilang bwos😂,iri bwos,negatif,-0.7906,0
298,anissa_puspakiranaa,"Pak tapi kenapa gerbong kereta juga ngethrift dari jepang padahal kan indonesia punya inka buat bikin kereta. Thrift fashion dilarang, tp gerbong kereta buat fasilitas masyarakat masa kita dikasih yg bekas negara orang:(",gerbong kereta ngethrift jepang indonesia inka kereta thrift fashion larang tetapi gerbong kereta fasilitas masyarakat kasih bekas negara orang,negatif,-0.08599999999999997,0
299,dean.diansyah,ntar dulu yang bener menganggu apa mengganggu der? gitu dulu deh,nanti bener menganggu ganggu der begitu deh,negatif,-0.26259999999999994,0
302,maulanalinggaa,lebih merugikan mana sama pejabat yang baru baru ini bekasus ?,rugi jabat bekasus,negatif,-0.9001,0
303,ismitasyaa,@ginanltf @sitikhn_ pupus kah gais😂,pupus kah gais,negatif,-0.7906,0
304,anan_daleo,"waktunya cintai produk lokal, contoh nya aku y g sieh @adtttttttttttttttttt",cinta produk lokal contoh sieh,positif,0.5902,1
305,sandyirawaaan,thriftingan is better pak,thriftingan is better,positif,0.20879999999999999,1
306,jaluwinter,Local pride local pride kualitas ga seberapa harga ga ngotak,lokal pride lokal pride kualitas harga ngotak,positif,0.875,1
307,natali_evaaa,Ya tolong garmen di Indonesia diperbaiki kualitasnya,tolong garmen indonesia baik kualitas,positif,0.32009999999999994,1
308,jamal_mahyudin,"Sangat menggangu?? Kalo beras , gula , gandum , daging sapi ,  kedelai kok masih impor?? Kenapa impor cuakkxxxs",menggangu beras gula gandum daging sapi kedelai impor impor cuakkxxs,negatif,-0.6124,0
309,dwiharjoena,"Iyah pak emng gitu. Trus apa kabar sama pembelian pesawat penumpang yang bekas maskapai asing, itu bekas juga loh pak. Dan sebelumnya juga kereta yang bekas juga dinegara jepang.",iya emang begitu terus kabar beli pesawat tumpang bekas maskapai asing bekas kereta bekas negara jepang,negatif,-0.0050000000000000044,0
310,jak_andra,Itu bisnis import beras lebih menganggu.....,bisnis import beras menganggu,positif,0.7906,1
311,haidar_______,Terus harus kerja di pabrik?,kerja pabrik,positif,0.4588,1
312,arnldtnz_,"Budaya thrift sudah melekat sejak dulu, kenapa ngga dari dulu aja kalo mau begini ujungnya.",budaya thrift lekat tidak ujung,negatif,-0.9432,0
313,akmalzulfa57,REZEKI UDAH ADA YANG NGATUR TOH ? MASA TAKUT KALAH SAING XIXIXI .. Kan semua punya pasarnya masing,rezeki sudah atur takut kalah saing xixixi pasar,negatif,-0.02059999999999995,0
314,fedofathuur_,"lokal brand harganya mahal pak, makanya saya pilih thrift dapat branded lagi😂",lokal brand harga mahal pilih thrift branded,positif,0.25960000000000005,1
315,yesayasinaga,kadang solusi sama permasalahan suka gak nyambung. kadang,kadang solusi masalah suka nyambung kadang,positif,0.16110000000000002,1
316,muslimmtqn_,"Apa kabar impor beras ???,, Toh itu juga kan merugikan petani lokal pak 😂",kabar impor beras rugi tani lokal,negatif,-0.4413,0
317,ikhsanirsansyah,"Kalo ga mau barang bekas kasi lowongan pekerjaan dong pak buat yang jualan ,dikasi modal",barang bekas kasih lowong kerja jual kasih modal,positif,0.05830000000000002,1
318,scnd.tripss,GATAU AH GUA MAH LAGI JUALAN JAKET VINTAGE,tidak tau ah saya mah jual jaket vintage,negatif,-0.7017,0
319,youthvworld,Rame nih. Kemeja nya kak 😬,ramai kemeja kak,negatif,-0.17819999999999991,0
320,bezaleelsyafa,Kaos partai dah paling enak sih apalagi pd**,kaos partai sudah enak pd,negatif,-0.032399999999999984,0
321,homesablonbks,Gas sikat,gas sikat,negatif,-0.7184,0
324,yesayasinaga,"mana bentar lagi puasa, abis itu lebaran, abis itu tahun depan pemilu. kan butuh uang.",bentar puasa habis lebaran habis milu butuh uang,negatif,-0.11820000000000008,0
325,trzhrrr,@nonikrtka @ifyr3ss_ dilarang ngethrift ya?😢,larang ngethrift,negatif,-0.6124,0
326,aafeed.gemash,"BENERIN KUALITAS❌
NYALAHIN PESAING✅
Crewneck&rajut nya kakak silahkan gemoy"" bukan kain partai silahkan makasi makasi",benerin kualitas nyalahin saing crewneck rajut kakak silah gemoy kain partai silah makas makas,positif,0.21409999999999996,1
327,aafeed.gemash,"Perasaan yang bikin barang kw di indo buanyak kok yg disalahin thrift🤣 
larang e-commerce yang memfasilitasi produk"" thrift juga ngapain? orang di toko oren aja foto nya produk thrift yg dikirim model nya sama tapi bahan nya bobrok👍🏻 (partai)",asa barang kau indonesia buanyak disalahin thrift larang commerce fasilitas produk thrift ngapain orang toko oren foto produk thrift kirim model bahan bobrok partai,negatif,-0.0019000000000000128,0
328,rickyaarf,Yah susah sih kalo biaya produksinya juga mahal pak. Yang murah cuman disini @weaks.space ya gak sob? @fankyadiw,susah biaya produksi mahal murah cuma space sob,negatif,-0.059900000000000064,0
330,libra_lim,Uniqlo udah paling bener wkwkwk,uniqlo sudah bener wkwkwk,positif,0.3061999999999999,1
331,farhanferdiansyah._,@ayank.razuki isi comentnya yg berkelas bos🤣,razuki isi comentnya kelas bos,negatif,-0.10950000000000004,0
332,ayank.razuki,"Padahal dr Bisnis Thrift itu bnyak pemuda yg jd pemula usaha dgn modal kecil.. keuangan pemuda jd bs lbh mapan, unpredictable cuan.. tp susah sih klo lawannya Undang2 mah..",dari bisnis thrift bnyak pemuda mula usaha modal uang pemuda bisa lebih mapan unpredictable cuan tetapi susah lawan undang mah,negatif,-0.00990000000000002,0
333,rheyfael_le,Penikmat beli baju shoppee yg bahannya tipis bet,nikmat beli baju shoppee bahan tipis banget,positif,0.059900000000000064,1
334,gabstersheena,Ga Cuma pakaian bekas pak semua pakaian impor mengganggu UMKM yang produksi Lokal. Bekas baru sama aja,pakai bekas pakai impor ganggu umkm produksi lokal bekas,negatif,-0.032399999999999984,0
336,sandhyakresna,@makgadir @bumbumtamtama pak presiden yg bilang bre😭,presiden bre,positif,0.6124,1
337,fanalfan_,@serentengjebred_ tangkap pak,tangkap,negatif,-0.6124,0
338,adindystr,apasih-_-,apasih,negatif,-0.7184,0
339,darma_suena,"Gini lo pak, industri brand di indonesia kebanyakan PLAGIAT tidak kreatip dalam merancang desain, yg ke dua mereka nembak harga selisih 5-10% dari harga brand international. Maka dari itu kebanyakan orang memilih membeli pakaian inpor bekas, harga relatip lebih murah dan anti plagiat!!!",begini kamu industri brand indonesia banyak plagiat kreatif rancang desain tembak harga selisih harga brand international banyak orang pilih beli pakai inpor bekas harga relatip murah anti plagiat,positif,0.0021999999999999797,1
340,beominiey,ah malas,ah malas,negatif,-0.7184,0
342,ikhwaanhrtno,"sebenernya si ya biasa aja sii ga terlalu ngaruh jg, seharusnya brand lokal paham bagaimana pangsa pasar di negaranya sendiri, dan seharusnya bisa memanfaatkan hal tersebut, dan masih banyak jg brand lokal yang kualitasnya kurang di bandingkan brand luar entah baru/bekas dan bahkan bisa lebih murah di banding brand lokal itu sendiri",sebenernya sii pengaruh juga brand lokal paham pangsa pasar negara manfaat juga brand lokal kualitas banding brand bekas murah banding brand lokal,positif,0.014100000000000001,1
344,bulanhly,"[CALLING FOR RESPONDENT]

Hallo semua!🙌
Perkenalkan, saya Bulan Hilaliyah mahasiswi Ilmu Keluarga dan Konsumen Fakultas Ekologi Manusia, IPB University angkatan 2019. Saat ini saya sedang melakukan penelitian untuk skripsi saya dengan judul “Analisis Niat Beli Pakaian Bekas Menggunakan Pendekatan Extended Theory Of Planned Behaviour”.

Adapun kriteria responden dalam penelitian ini adalah:
1. Belum pernah melakukan pembelian pakaian bekas/pakaian thrift
2. Berusia 17-41 tahun
3. Pengambil keputusan utama dalam proses pembelian pakaian

Apabila bapak/ibu/saudara/i adalah orang yang memenuhi kriteria di atas, saya mohon kesediaannya untuk mengisi kuesioner pada link berikut:
https://ipb.link/kuesioner-thrift
https://ipb.link/kuesioner-thrift
https://ipb.link/kuesioner-thrift

Data yang diperoleh hanya akan digunakan untuk keperluan penelitian dan akan dijaga kerahasiaannya. 

💵 Total hadiah sebesar 300K untuk 10 responden yang beruntung!

Terima kasih🙏

Narahubung
📞WhatsApp (https://wa.me/08558554452) 
📩 bulanhilaliyah@apps.ipb.ac.id",calling untuk respondent hallo kenal hilaliyah mahasiswi ilmu keluarga konsumen fakultas ekologi manusia ipb university angkat teliti skripsi judul analisis niat beli pakai bekas dekat extended theory of planned behaviour kriteria responden teliti beli pakai bekas pakai thrift usia ambil putus utama proses beli pakai saudara orang penuh kriteria mohon sedia isi kuesioner taut https ipb taut kuesioner thrift https ipb taut kuesioner thrift https ipb taut kuesioner thrift data oleh perlu teliti jaga rahasia total hadiah responden untung terima kasih narahubung whatsapp https wa me bulanhilaliyah ipb ac id,positif,0.00029999999999996696,1
345,izmaafwm,Solusi nya follow aja deh @vibrationstuff.id @guaranteedstuff dijamin 100% Original & Murah Meriah Pastinya Dong👌,solusi follow deh id jamin original murah riah pasti,positif,0.07669999999999999,1
346,mhmmdjerry_,udah bayar pajak? buat beli beras impor nanti kita gak makan kalau gak bayar pajak,sudah bayar pajak beli beras impor makan bayar pajak,negatif,-0.07750000000000001,0
347,dikawardanap,"bisnis thrifting juga skrg jadi umkm :( , solusinya gmna?",bisnis thrifting sekarang umkm solusi bagaimana,positif,0.8402,1
348,azka_rizki,Info buat mata mines kuadrat qaqa?,informasi mata mes kuadrat qaqa,negatif,-0.3318,0
349,aargakkk,"Tapi gini, Pak. Apapun itu, tidak merubah kenyataan bahwa populasi kanguru di Australia saat ini adalah 49 juta ekor dan populasi manusia di Uruguay hanya 3,5 juta jiwa,
jika kanguru menyerang ke Uruguay, maka setiap orang di Uruguay akan menghadapi 14 ekor kanguru.",begini apa rubah nyata populasi kanguru australia juta ekor populasi manusia uruguay juta jiwa kanguru serang uruguay orang uruguay hadap ekor kanguru,negatif,-0.028699999999999948,0
350,ejikmf,otw borong kaos beruang petir🐻⚡️🥶,lagi di jalan borong kaos beruang petir,negatif,-0.48440000000000005,0
352,ziljianqisti,"ya gimana pak, kalo pake baju rapih tiap hari dikira abis interview terus ama temen kantor :(",bagaimana pakai baju rapih habis interview sama temen kantor,positif,0.28769999999999996,1
354,monicapolnaya,Beli baju thrift supaya bisa hemat gaji pak 😂,beli baju thrift hemat gaji,positif,0.059900000000000064,1
355,nikosinamo_,Import bekas = baru local,import bekas lokal,positif,0.2277999999999999,1
356,indahhrdnt,Kan kaosnya made in dalam kota pak ☹️☹️☹️,kaos made in kota,negatif,-0.7906,0
359,yastimargarethaprima,"Menurut saya industri dalam negeri termasuk UMKM itu semestinya harus ada gebrakan dan inovasi serta usaha yang baru dan sesuai dengan kondisi saat ini dimana cenderung lebih ke kaum muda yang kekinian dan stylist namun dengan budget yang sesuai baik dilakukan oleh pemerintah pusat maupun pemenitah setempat yang juga melibatkan anak² muda toh kaum muda di Indonesia sangat banyak tinggal bagaimana cara mengaturnya seperti dibuat semacam event lokal maupun event besar nasional. Lantas bagaimana Industri lokal bahkan UMKM bisa berkembang dan bisa bersaing dengan negara lain? Saya raya banyak dari daerah di Indonesia juga masih kurang gerbrakan dan gerakan untuk UMKM dan Industri lokal. Ini hanya sekedar opini saya, tidak ingin memprovokasi atau apapun itu. Sekian dan terimakasih. 🙏",industri negeri umkm mesti gebrak inovasi usaha sesuai kondisi mana cenderung kaum muda kini stylist budget sesuai perintah pusat pen libat anak muda kaum muda indonesia tinggal atur acara lokal acara nasional lantas industri lokal umkm kembang saing negara raya daerah indonesia gerbrakan gera umkm industri lokal dar opini provokasi apa sekian terimakasih,positif,0.0016999999999999238,1
360,aolivmine,mending emang kita ngepet aja fi smt 5 @39pieco,mending emang ngepet fi smt,negatif,-0.15360000000000007,0
361,rakhatokanwe,Ya paling ngga turunin harganya + tingkatin kualitasnya kalo mau saingan sama thrifting pak. Gasuka? Yaudah,tidak turunin harga tingkatin kualitas saing thrifting tidak suka ya sudah,positif,0.016599999999999948,1
362,rezahermanu,Hayoo brand mana nih yg titip undang-undang 🫢,hayoo brand titip undang undang,positif,0.7184,1
364,stevenxzy_,"Kegedean gengsi sih, kalo gamampu beli barang branded luar ya gausah maksain beli barang yang katanya reject padahal kw. Cardinal sama Cressida aja udh cukup banget kali 🥴",terlalu besar gengsi gamampu beli barang branded tidak usah maksain beli barang reject kau cardinal cressida sudah banget kali,negatif,-0.01419999999999999,0
365,adenovaair,Yang lebih mengganggu import plastik bekas @ecoton.id,ganggu import plastik bekas id,negatif,-0.03480000000000005,0
367,rckyalamsyah,Oke saatnya beli tshirt beruang petir @rikhwanfatih,oke beli tshirt beruang petir,negatif,-0.12179999999999991,0
369,agungsoegi,"Sebenernya yang mengganggu/merusak pasar UMKM atau ekonomi lebih ke kasus ""Pembajakan/Per KWan"" daripada Thrift. bayangin udh brand lokal eh di bajak pula😂
giliran yg bgitu ga diurusi pemerintah. semua udah punya segmentnya masing2 pak",sebenernya ganggu rusak pasar umkm ekonomi baja kwan thrift bayangin sudah brand lokal eh bajak gilir bgitu urus perintah sudah segmentnya,negatif,-0.04249999999999998,0
371,saaeed.page,kalo mampunya itu gmna pak? brand lokal pada mahal sih wkwk,mampu bagaimana brand lokal mahal wkwk,negatif,-0.10599999999999998,0
372,dimasrifqim,@fanmuh_ @rizkyandr_16 hayo Loooo😂😂😂,hayo loo,positif,0.7184,1
375,lizzyrizky,Hallo gengs kita @me.dynn88 jual blazer thrift @hibabes.id alhamdulillah punya brand lokal juga @hibabes.id signature & @gagastudio.clo bisa jadi pilihan kaka kaka yg mau thrift atau lokal brand chuaakss 🙏🏻 😆,hallo gengs dynn jual blazer thrift id alhamdulillah brand lokal id signature clo pilih kaka kaka thrift lokal brand chuaakss,positif,0.4737,1
376,rzkiikrnwn__,emang paling bener pake kaos partai aja,emang bener pakai kaos partai,negatif,-0.17819999999999991,0
377,fajarsukarno_,"Nah terus yang kedua, buat yang tau tau aja,setiap barang tekstil yang masuk harusnya kena bea masuk 25% dari harga barang,belum termasuk PPh & PPn. Dan,selama Ini kalau barang masuk kayaknya ga ada yang kena bea masuk kali ya,makanya makin menjamur kan thrifting ? Lah terus,KOK BISA ? Yang tau tau aja KOK BISA gitu loh 😂",barang tekstil masuk kena bea masuk harga barang pph ppn barang masuk kayak kena bea masuk kali jamur thrifting begitu,negatif,-0.371,0
379,rizkyadipe,"Sebenernya ga mengganggu si, ada pasar nya masing-masing,  cuma yang gua agak kecewa sama trift sekarang si harganya udah mulai tidak masuk akal aja mungkin",sebenernya ganggu pasar saya kecewa trift harga sudah masuk akal,negatif,-0.08340000000000003,0
380,mahardikatgrp,Sedang menikmati keributan,nikmat ribut,positif,0.15659999999999996,1
381,nrhwkhyrn.n,"pro/kontra si, jujur emng ganggu umkm, padahal kalo kita bisa samain kaya negara singa yang amat sangat mencintai produk lokal nya dengan bangga, yakin gue lokal Indonesia bakal bisa jadi lebih keren dari skrng, tapi di sisi lain ngawul yang gaul nya skrng di sebut thrifting membantu kita buat beli baju dengan harga se adanya, yang memang cukup di dompet kita. jadi guys, apapun keputusan nya tetep dukung lokal eaa, walau gabisa di pungkirin ogut jg masih suka ngawul barang bekas. tapi gitu dehh.. di pikir ada bener nya jg ngeganggu umkm lokal mungkin bolee thrifting tapi secukupya? tapi ah sudahlah keputusan orang berbeda beda~",pro kontra jujur emang ganggu umkm samain kaya negara singa cinta produk lokal bangga saya lokal indonesia keren sekarang sisi ngawul gaul sekarang thrifting bantu beli baju harga dompet guys apa putus tetap dukung lokal eaa tidak bisa pungkirin ogut juga suka ngawul barang bekas begitu dehh pikir bener juga ngeganggu umkm lokal bolee thrifting secukupya ah putus orang beda beda,positif,9.999999999998899e-05,1
382,hallo_indahhesa,@jahratunnidaa nah am nid kd kwa lg nukar thrift am kitee😢,am nid kd kwa lagi nukar thrift am kitee,negatif,-0.6124,0
384,dickyaprl,tangkap ini pak @aksportwearsecondbranded,tangkap,negatif,-0.6124,0
386,rheinaldyiz,"Local brand harga makin gak ngotak juga, ya wajar aja kalo orang orang pindah ke baju bekas",lokal brand harga ngotak wajar orang orang pindah baju bekas,positif,0.015199999999999991,1
387,desintawk,@agengpramesthi mending tesismu ganti ini wkwkwk,mending tesis ganti wkwkwk,negatif,-0.01849999999999996,0
388,ulfinrsifaa,@mnaufal__febriansah gmnaa tanggapan pak lurah,gmnaa tanggap lurah,positif,0.6124,1
389,andre_panggabean_,"Bkn nya kalo impor itu jg kena pajak. Otomatis negara dpt income kan? Kalo mengganggu pasar, ya namanya jualan. Kalo produknya bagus, kualitas bagus, pasti ada yg beli. Namanya juga jualan. 😂",bukan impor juga kena pajak otomatis negara dapat income ganggu pasar nama jual produk bagus kualitas bagus beli nama jual,negatif,-0.007299999999999973,0
391,lisa_maliana,otw pake kaos partai @husnulklf_,lagi di jalan pakai kaos partai,negatif,-0.875,0
392,swandhikaa,trif seharga kaos uniqlo yg berkedok “LANGKA”/ “LIMITED” 😭🤢😭😭,trif harga kaos uniqlo kedok langka limited,negatif,-0.3061999999999999,0
395,_linaaaf,@_dhiilaaa siannya,sian,negatif,-0.6124,0
402,xakmalm,"ini pak yg katanya mau buka usaha baju bekas, tolong diedukasi ini @sfvvnnnn",buka usaha baju bekas tolong edukasi,positif,0.006700000000000039,1
403,andresullivan_,@laurensiusivez wahh gimana nih gan,wahh bagaimana juragan,negatif,-0.7184,0
404,user4971373568,yok ndak tau yok jangan tanya saya,yok tidak yok,negatif,-0.7906,0
405,andi.rachman,Selera manusia ga bisa di ganggu gugat pak,selera manusia ganggu gugat,positif,0.12179999999999991,1
407,refvirnptri_,*lanjut nonton live thrifting*,nonton live thrifting,positif,0.6124,1
408,kiikiiiiiii____,thrift = menyelamatkan bumi dari sampah,thrift selamat bumi sampah,positif,0.07219999999999993,1
410,fafanadisutarn666,Impor beras juga meresahkan pak,impor beras resah,negatif,-0.7906,0
412,rehunt.dy,"Plus-minus bisnis thrifting di Indo:
Plusnya: ngurangin limbah secara global, bikin produsen indo sadar buat ningkatin kualitas produknya dengan harga yg ttp bersaing (soalnya bbrp waktu lalu udh pd mulai diatas angin, kualitas standard harga udh cem brand mewah), modal relatif cukup murah untuk bantu yg baru mulai usaha.
Minusnya: jelas ganggu umkm, jumlah pengangguran mungkin nambah.
Kurang bisa dipasti'in sih tanpa data yg jelas, soalnya bisnis thrifting ini emang ganggu umkm dan bisa ningkatin jumlah pengangguran, tp di sisi lain kan bisnis ini jua bnyk ngasi kesempatan masyarakat buat mulai berbisnis berhubung modalnya relatif murah.",plus minus bisnis thrifting indonesia plus kurang limbah global produsen indonesia sadar ningkatin kualitas produk harga ttp saing beberapa sudah pd atas angin kualitas standar harga sudah cem brand mewah modal relatif murah bantu usaha minus ganggu umkm anggur tambah pasti in data bisnis thrifting emang ganggu umkm ningkatin anggur tetapi sisi bisnis juga banyak beri sempat masyarakat bisnis hubung modal relatif murah,positif,9.999999999998899e-05,1
414,_yzdnnrafi,Nyari yang 100rb 5 pak,nyari rb,negatif,-0.4588,0
415,itspige,Assalamu'alaikum pajak,assalamu alaikum pajak,negatif,-0.15360000000000007,0
416,ria.lifah,bye thrifting @huzein_mimin @alifbonaken,bye thrifting,negatif,-0.6124,0
417,janukemo,@tamaraafninda bos,bos,positif,0.6124,1
419,hertodifferent,"Apakah hanya baju import saja yg di larang, padahal banyak yg masih import cuaks 😮",baju import larang import cuaks,positif,0.2277999999999999,1
421,rudiprastowoo,@nurbat_dhany_s ganggu,ganggu,negatif,-0.7184,0
422,rahmadnrlim,"Baju bekas, harga ga jelas. Chuakss",baju bekas harga chuakss,positif,0.3061999999999999,1
