,username,comment
441,zilvnsurbakti,@mikhzr__ bang dikis bang😢
442,_yzdnnrafi,Nyari yang 100rb 5 pak
443,itspige,Assalamu'alaikum pajak
444,ria.lifah,bye thrifting @huzein_mimin @alifbonaken
445,janukemo,@tamaraafninda bos
446,fadelramadhian23,bro aman a?😢 @erick_himawan @rahadianyudistira
447,hertodifferent,"Apakah hanya baju import saja yg di larang, padahal banyak yg masih import cuaks 😮"
448,halo_mandiri,@butik.second
449,rudiprastowoo,@nurbat_dhany_s ganggu
450,rahmadnrlim,"Baju bekas, harga ga jelas. Chuakss"
451,afifbashair,"Masih sama dg yg kemaren, impor produk luar mengganggu indutri dalam negri. Setuju. Setuju juga dengan impor beras dsb. yg mengganggu bahan pangan lokal dan petani lokal. just my opinion"
452,kdzik_,@thriftbrebesan_  your opini?
453,gee.photoscape,"Go Green = Trifting , Valid no Bacot🔥"
454,justshinra666,Mending ori tapi lokal ga sih?
455,rkhstrr,@cibitung_second  wkwk
456,duniailmu_,Otw thrifting brand lokal indonesiahh 👀
457,kabar.aku,"mahal pak deh, kalo murah mah hayuuu like that tara ra ra tara ra ra"
458,putragil10,"yang murah² aja, kaos lokal skrng harganya udh gda yg merakyat,"
459,aldomuhammad98,@airlanggabrayoga_ @rakhapranadika 😅
460,myname.hani,"aman gaakan ada virus, karena pengusaha thrifting jga nge laundy dulu semua produk nya, ga mungkin kan produk keluar dari ball dalam keadaan lecek langsung di jual ke konsumen gaada menarik nya. cmiiw"
461,m.rachmanfebian,Apalagi impor pangan sangat2 mengganggu
462,amndaaa4_,Setuju g pren? @fprlaa
463,yoraflianyusuf,@dwiwulannr
464,dinulfadli_,"Solusinya dong, ngab joko 😢"
465,aansigitpranata_,Sianlah sodare saye ni 😢 @giggitjariii
466,arifhiii,@iqballmhmmd10 waduh gmana ni pak😂
467,haykzl,"hilangkan ""lokalpride"" pada produk lokal... sm sj menjijikkan"
468,firmanrid_,@riandyriskya open bit
469,ANDRIEIYU,Penjual baju bekas ketek bule kepanasan aokwowkwowko 🤣
470,fiqriii10_,kaum thrifting🙌
471,agunigf,"As a student of garment, im totally agree with this!! Padahal banyak banget local brand yang bagus dan terjangkau. Let's support UMKM‼️. Tapi seharusnya pemerintahan membuat solusi atas pernyataan yang dibuat. Dimana banyak sekali yang mengeluh tentang local brand yang overprice, dan justru itulah yang membuat mereka pindah haluan ke thrift. Tapi masih banyak orang awam yang gatau betapa ruginya pihak perindustrian tentang usaha dalam negri."
472,egg.gyoit,Cuy @pheelocalist @nvngrnii
473,oposiaku,SING GANGGU KI IMPOR BERAS😂
474,mr.kiwak,usah lupak habiskan stok yang masih ready #gaskwk....sebelum ganti baju p
475,syihabulff,ya kok tanya saya
476,xcornerstonex,Disini ada yang jual kaos beruang petir gak ?
477,whynot._77,Pake kaos zeus aja udah
478,azzy_laimanto,Mantap pak
479,borbuns_,@mhmmadfuaddt @mas_aco kasih paham sam si pakde
480,toko.gumbira,Naon nu dirasa atuh wi
481,dean.mora,"Gak ada thrift lagi ini mah gas, jadi kek angga ini mah wkwkw @baqasriyadi @galiant"
482,frdiinnd,@zamzamialfauqi @nblsrt_ tangkap pak
483,damaramnah,@ryankhdva_
484,akbarmustikaa,@bayuaprils kiro kiro solusine apa?
485,chilmyyyyy,Better Save Your Money Than Buying Fake Stuff
486,juliia.ap,@ndyahfzh_ @ftrtnnisa_ @alitadwyt_ padahal enak cepe dpt 3 wkwk
487,muhdanirmdn,@mahpiestuff kau tak nak pindah negara ke?
488,atkasuat,@vina_latupono galap galap
489,n1zaaaar_,Jadi solusinya adalah perbanyak produksi baju PARTAI🔥
490,faizhaniff_,@putraikbal588 @ikbalsyahputra4150
491,kyy.dickyy,"aelah pak saya beli pake duit sndiri ga pake duit negara, emang bener pake kaos partai aja"
492,nia_fergiani,Wahh woo @ranipuspaindrii24 ckmn dkbiso nak ngethrift lagi men la dakdibolehi wawak joko😆
493,m.athourrohmann,waduhh lurr😂 @vinoadyt_ @muhamadxjafars
494,dinianggi,"Ayo brand lokal perbaiki khualitasnya jangan cuma bersaing harga aja,moso harga setars brand luar tapi khualitas ya gtu deh. .buat kaum mendang mending jadi pertimbangan."
495,aakmaal_s,Mang eaaaak *lanjut nonton live thrifting
496,dehanaditya,Udah paling bener jualan gorengan depan perumahan
497,rocky8889ju,😂😂😂😂😂aneh
498,aabbinhanif,"dih, lawak!"
499,denisyabani,ngerusak product china #savechina
500,gaidanamanya,"THRIF DILARANG, AKAN BELI BAJU BARU BRAND LUAR YG KUALITAS JELAS BAGUS, NGGA AKAN BELI LOKAL 🔥"
501,robinurhdi,Industri dalem negeri harganya selangit pak @jokowi
502,salmaaurr,"kenapa harus menyalahkan thrifting? local brand kalah saing kalah peminat seharusnya dievaluasi, apa sih penyebab peminat local brand lebih sedikit dibanding pakaian thrift. oh mungkin karena harganya, mungkin juga karena qualitynya. di tahun 2020 pandemi covid banyak orang kehilangan pekerjaannya, kekurangan bahkan tidak ada pemasukan. sejak saat itu orang orang juga mikir buat bangun usaha dengan sedikit uang yang mereka punya. akhirnya lama lama thrift berkembang diindonesia, orang orang yang tidak punya pekerjaan, skrg mereka bisa punya usaha, mereka bisa mengais rezeki dr usaha yang mereka punya, pakaian thriftlah yang akhirnya menjadi sumber uang buat mereka yang bisa menghidupi mereka di luar sana. bahkan mereka diluar sana yang menginginkan produk seperti zar*, uniql*, dll tetapi dengan harga yang murah karena mungkin ketidakmampuan mereka atau keterbatasan dr mereka (mungkin para pelajar) mereka bisa membeli pakaian thrift. seharusnya, tidak perlu mengambing hitamkan salah satunya, karena keduanya memiliki peminat masing masing, pasar masing masing. apakah dengan melarang pakaian thrift orang orang akan beralih ke brand lokal? belum tentu, setiap orang punya hak untuk memilih itu. jika thrift dilarang memangnya apa solusi yang tepat untuk orang orang yang punya usaha thrift? melarang larang tapi tidak ada solusinya. lalu mau dikemanakan barang barang yang sudah mereka beli untuk mereka jual lagi? apakah negara yang akan menggantinya?"
503,abishaleh,Ga semua murah itu bagus gaes
504,hsnh.jml5834,apa kabar yang jastip dari LN pak? di bandara pake koper gede bilangnya oleh2 buat keluarga padahal buat customer😂😂😂
505,mhmd_akbaarr,bru sadar tah
506,virrr.ajjjj,"saya kaum thrifting jg ikut trganggu dgn pernytaan ini, toh sblm adany brang luar msuk krna menganggu industri lokal,negara ini pun ekonomi ny jg sdh krisis sharusny pengelola negara lbih memahami lgi suara dan keingin rakyat"
507,siskacaeli,@selin_ngeselin8
508,woy.sob,Ya tapi tidak dengan tiba2 dong… bertahap.. kasian tau orang yg udah nyetok skrg pada di bubarin sama polisi.  Emang ga suka sama rakyat kecil apa gimana si
509,ma.mabruraziz,Mengganggu karena para oknum gak dapat bagian 🔥🙌 Beda dengan barang import apapun itu yang oknumnya kebagian pasti tidak ada kata menggangguuuuu 😍😍
510,windy.reyel,Jadi pak @jokowi solusi nya apa buat para pedagang Thrift kayak kita ini?
511,uniqlontea,soalnya kebanyakan baju baju alay klo beli di pasar malem @farhadbukanabbas @5lowryyyyyy @emdepey
512,zahramghff,"Baju bekas impor ujung ujungnya jadi limbah, ngerusak lingkungan sih jadinya"
513,kakaaciciw,Entahlah aku risih melihatnyaaa🤣
514,apasmaksudi,"Aduh paaaak paaak,lebih mengganggu lagi korupsi loo.setidaknya tidak mencuri uang negara.pahami lah kata kata ""rejeki sudah ada yg mengatur""selama tidak merusak dan merugikan negara gausah di usik pak"
515,ltfahlulu,"Bagus si, support UMKM👏"
516,urcreedz_,Yupp benar sekali sangat relate ketika banyak pabrik memindahkan produksinya ke jateng maka petugas partai ini berusaha mendorong masyarakat membeli produk dalam negeri
517,achmrzky_,fuckoff
518,kamusmahasiswa,Sampah bekas juga pak. Sudah diusut belum yang kasus impor sampah bekas?
519,adamantite111,"Waduh, susah sih ini. Tapi harusnya juga adil, seperti petani sama UMKM lokal dikasih bantuan dengan nyetop import beras dan sembako dari luar negeri. Tapi ya who knows..."
520,pejjyparker,pernah liat 2 org abang adik borju bikin clothing brand dan laku keras gara” ngangkat cerita blablabla n appearance mereka. ini satu contoh dari berbagai banyak brand yg udh sejahtera dan selanjutnya makin sejahtera
521,kakenda_micko,"Pak yang menggangu itu ketika tekstil dalam negri mahal dan kualitasnya rendah, adanya impor pasti karena adanya permintaan. Kalo di stop yang ada nanti testil dalam negri malah naik harganya, faktanya adalah anda tidak perlu tekan tombol love untuk like komentar ini cukup tekan dua kali komentar ini👍🏽"
522,qrpwot.14,"Solusinya pak, itu brand lokal harganya mahal banget..."
523,qrpwot.14,"Hah ? Apa? Saya sejak dulu sudah pakai baju bekas...bekas kakak saya, ada banyak..jadi gak perlu sibuk beli baju😂"
524,fkriidris,Koruptor mengganggu kesejahteraan masyarakat
525,jeninuy_,100/3 vs 100-an/1 battle👏
526,sheddieboy,"Setuju dengan pak Jokowi, mungkin sekarang kebijakan YANG diambil terlihat kurang tepat atau KONTRA terhadap banyak pihak, tapi seperti yang sudah kita rasakan sendiri dibawah pemerintahan beliau selama 2 periode, kebijakan yang beliau ambil TERBUKTI visioner, mungkin bukan untuk sekarang, tapi beberapa waktu ke depan, sudah saatnya semua yang bertentangan dengan kebijakan dari pemerintah DIBERANGUS!
LONG LIVE JOKOWI! 🇮🇩"
527,jayantilestari_,gmn y kak @fadiah_islamiati @mochkhairi_ @dicryrifaldyy
528,gustias88,Se7
529,scoobyy.id,Pakaian thrift nya kak🔥🔥🔥
530,putriayns_,lalu gmna?
531,reyrenaldi26,SESAMA SUKA IMPORT BARANG JGN SALING GANGGU😂
532,ahmadmaulaannaa,bener banget🙌🔥
533,mauliadiari,"Import kebutuhan sandang dan pangan  menggangu kesejahteran petani, perternak dan pengerajin industri kecil dan menengah"
534,sabano_office,Tahunnya politik nihh harus pakek kaos partai gaes
535,tarelaksita97,Suport kaos partai merah 🔥 wkwk
536,fawwaz1406,"T-t-t-t-tapi kan beras, cabe, bawang juga import😢😢😢"
537,rifkyeki66,Barang kw lebih merugikan
538,arnobissn,"itu depstore Matahari juga banyak lokal, bagus bagus"
539,ancientbatavia,"cabe bawang minyak pas harganya naik karena terganggu musim atau terganggu impor ? baju kalau beli baru trs ada pajak biaya masuk itu uangnya kmn ?
ke kantong orang yang jualan baju bekas?"
540,rendysco_,Agree
541,ecrawk,Bisnis sabu kek tedy minahasa oke ya pak
542,iera_chiaki,"Thrift itu justru jadi peluang usaha buat banyak orang, lah brand lokal banyakan harga selangit kualitas loyo kok.."
543,hidayatsari,Lebih bagus produksi barang KW pak yg di hentikan dibanding barang thrift impor yg dilarang
544,robbyhee_,Tutup aja produksi barang kw
545,purmagita,Urusin duLu dah yg pda korupsi pak..
546,baristatir,Di bahrain banyak yang jual pakaian bekas & king pun ga komplain 😊
547,mam.sky__28,@farhanrizqy2 duhhhh
548,mam.sky__28,@ucokpetott
549,calissrytedja,Ya tapi ga dibakar juga tuh bajau kaliiii😂
550,massdeeee_,"Omong ""0"""
551,yotio___,@dreyystorebogor aman ?
552,gemilangnst,"Dasar Datanya liat dimana ya? Kok bisa sangat mengganggu,"
553,indra_parkerr,Ngapain pusing-pusing mikirin baju bekas korupsi yang jelas ngerugiin negara belum juga kelar
554,mhmmd.senoaji,"Apapun bajunya, ngasihnya tetep dilempar"
555,anaakemarinsore,iyasi ganggu industri tekstil
556,putrays,jangan lupa impor tenaga kerja asing pak
557,pithecanthropus.erectus__,"Maksudnya mengganggu industri dalam negeri china? Gw liat di marketplace banyak yg dari china, ada yg dikirim dari sana langsung pula"
558,get___yourstyle,Gak usah bicara thrift merusak umkm pak kalau produk dalam negri aja MADEIN CHINA
559,muhammadrendraaaa,makanya @bekasan.cuan jual barang baru dong wkwk
560,jakinaufal._,@rnoe.1104 2
561,heygo___,Apa selama ini setiap larangan ada solusinya paman?
562,secorecardstuff,KONTOL
563,ezscal,"iya si, selain menjijikan itu juga sumber penyakit. salute🙌"
564,alfito.gifari,Emang penyakit hati paling sulit dihilangkan
565,byvspr,Solusi terbaik adalah ...
566,mainnarr_,KATRO!
567,osscarhs.06,Sklian stop smua brand luar elektronik mobil motor baru gw setuju
568,penyroyalltea,Paling bener kaos polos udh 😌
569,cindywlng,Yg thrifthing juga pada akhirnya membuka lapangan pekerjaan bagi masyarakat lohhh 😍
570,ngabmiko.jpg,🥺🥺🥺 ayo masyarakat 🥺🥺🥺 naikin usaha lokal 🥺🥺🥺🥺 then it's a piece of t shirt that worth like 500k each TAIK LO
571,nannomky,"Yang namanya bisnis itu utamakan kualitas produk, bukan gimick"
572,yofiadrian_13,bapak ada ada sajah
573,yafiik_,gpp di stop aja pak penting brand lokal harganya turunin chuaaaaaaks
574,alamsyah.64,"Disamping mengganggu industri dalam negeri,juga akan menambah sampah di Indonesia.Karena pakaian pakaian itu dalam waktu yang tidak akan menjadi sampai ,karena aus ,robek dan rusak."
575,txausraukuv_txhuahnub,Dan Bapakeee paduka mulia bicara begini setelah 9th berkuasa!!???????
576,blackland_thrift,Mending jual baju beruang petirr cuakkkkk
577,rizkyhiramadhan,Karna bisnis yg pejabat ga join aja baru diawasi
578,sunang.blyat,"Yang penting 100rb dapat 20 biji baju, tinggal sterilkan lalu Laundry"
579,trendykaeg,#why
580,reynaldliam,@aji.lumintang @alfinn_nadhif @reyhanmee_ borong Selak di ban cik
581,dannydope555,Bener
582,01110011m,"duh ini topik complicated bgttt. gw bukan tipikal yg sering beli baju. jarang bgt malah. sekali per 6 bulan juga belom tentu beli 1 pcs. bukannya gamau beli produk lokal. jujur aja, terlepas dari masalah legal atau enggaknya, dan lebih ramah lingkungan yg mana nya, masalahnya brand lokal tuh buat gw yg jarang bgt beli baju aja masih kerasa mahal. target market brand lokal bukan gw kayanya.  meanwhile thrifting, sbg org yg gapeduli merek baju, gw bisa dpt harga murah dan kualitas kain masih bagus bgttt. 30k bisa dpt 1 kemeja, di brand lokal 30k dpt apaan gw😂"
583,nawasenavisual_,Wowowowowoow 😂😂
584,mhfrhntp23,Hahaha sessajaki @alikhwandp
585,yeddy.pratama,Hoodie thrift nya kakak silahkan 😂🙌
586,restia.vitha,"Product dalam negeri harganya jutaan pak, sedangkan thrift cuma 20rban"
587,__ayje__,Yaudah pake kaos Partai aja. Udah mau 2024 juga 😂
588,outfit_room2,😢
589,elokrahmamu,Karena pajak bea cukai (yang terlalu mahal) merugikan masyarakat
590,daaemonn,"Minimal yang jual thrifting ngotak juga, barang bekas lu jual seharga hampir kayak beli baru"
591,riolanggeng_72,Bener bangettt
592,doyogpakeg,singletan aja udah
593,dwi_joan,Pindah negara paling aman
594,m.aqlaaa,Korupsi lebih mengganggu
595,arigostore.id,MOTZ Original Celana Chino Panjang Reguler Abu
596,miftrr_,Seru ya bacain SJW debat disini 😂
597,meilisa.sembiring,Apakah ini termasuk tas second jg kah ?
598,fahmi90s_,Kumaha iye😢 @xstyle.id @bi9boss
599,jihanqr,Namanya juga persaingan pak
600,cainish__,hmzz
601,fluterrby_,Setuju
602,wahyuningtiyas86,@dessiika
603,passingpapers_,fuck off
604,jnrchmh,G GT PAK. KALI INI SAYA G SETUJU HHHHFFFT
605,adittyawirabhakti,@msalmannnn
606,acilgs_,"Rezeky sdh di atur kali ga usah takut brand sana sini ga laku, tapi gue pribadi pencinta baju bekas chuakssss"
607,ninaokta112gmail.com7,"Noh horang kaya pke branded gmn...kremes...bale""an... Guci..ntu khn barang impor jg ... Kga diomelin jg nohh..."
608,__goeasyonmebaby,Bisnin impor mobil baru juga mengganggu penjualan mobil Esemka
609,goriorioenakk_,Heh
610,wahyu_alfajar,Nunggu kaos dr Bu @puanmaharaniri aja dah
611,ale_234x,Brand lokal jahitannya gk lurus 😂
612,fadhliar23,Rakyat beli nya thrift under 100k di anggap merugikan..... Sedangkan pemerintah yang korupsi triliunan dibiarkan chuaksss
613,yuliaputri6583,Ga semua dari kami mampu untuk beli baju yg di mall dengan harga sebulan makan pak
614,dapit_es_anget,Setuju
615,iniliwoy,"Kata saya, mending brand luar negri dulu dikurangin, knp pak? takut duit gengsi abis atau duit rakyat abis?"
616,royreynald,Yoo karepmu de
617,umimalikalb,0⁰
618,sejengkal_bumi,Kalian pake baju ngab? 🗿
619,espeweh,Betooll
620,chandra_nurfahla8,UPP ah moal ngiringan
621,watashi_wa___dareka,Pabrik garmen dan konveksi lokal dengan bayaran upah murah sangat mengganggu.
622,mdwiifm,berak sekebon sawi
623,kmplenggg._,njerrrrrrrr
624,livetolose,artinya apa bg messi
625,_obege,Ya makanya benerin ketimpangan kekayaan rakyat supaya tidak ada gap poverty dan crazy rich supaya orang juga bisa beli fashion yang ori bukan baju bekas. Lagian thrifting atau baju bekas bisa bikin orang orang lebih merasa sejahtera daripada bapak bapak pejhabhat hehe
626,monadanlisa,@fitriantori
627,shopaholic.pwt,"jgn mematikan masyarakat yg jualan thrift sih, coba brand-brand mall dari luar kek h&m uniqlo zara cotton on pull & bear dll jgn diijinin masuk ke indo"
628,oxarach,analisis nya pas
629,prascetar,"Jangan sok paling lokal pak, keluarga bapak aja masih make brand luar walaupun bukan hasil thrifting 😂"
630,rizkafala,thrift jgn diapus dong
631,leo_aether,thrift udh jadi habbit
632,hoirul_am,"Di p,senen banyak pak.. udah Dari tahun jebot. Cuma skrg buming ny"
633,nurkholiddd_,Tukang parkir juga mengganggu pak
634,ditasantra98,"Setuju, support UMKM"
635,luckyalatas_,Gini aja ngakak an*ir 🤣🤣🤣🤣
636,bombom_mr,Begitu syulit ...
637,iqbal_dovandra,Pada berantem dikomen 😂😂😂😂
638,rahmadrzl88,Pakaian bekas kok bangga
639,suryabastian1694,Gapenting
640,yadinmulyadiin,😂😂
641,josenkkk_,trus gmana pak? masak nongkrong pakai kaos partai. brand lokal juga mahal pak
642,fruitybonbon,"Garam aja import paaaak. Diurus itu dulu deh.  Beras,  daging,  bawang semua ilmport. Knpa yg menguntungkan rakyat malah diusik,  sedangkan yg merugikan rakyat ga dipikirin"
643,yoolooo234,Ya kalo ga mau menggagu naikin kualitas dalam negeri
644,mr.sternn,jngn lupa bagi bagi baju partai nya ya pak .
645,ikballjust,Kaos partai
646,qxlr,sudah sudah rezeki kita masing masing uda diatur ama yang diatas
647,zhdncst_,Banteng merah jaya jaya jaya
648,risnajuli_,Betul se x Pk presiden
649,sapstudiodesign,Betul
650,lutfie809,Tim pake kaos 30 ribu cekk 😂😂😂
651,nanaayu1,Halaaaah
652,davafredo,belum juga ke pasar baru su asu @maulnryan
653,aanhdn,yg beli baju pas lebaran doang cukup nyimak
654,dentnis,300M lenyap
655,elwingraciano_,S7
656,diraayu20,🤔
657,milaprstya,harus cinta produk sendiri ❤️
658,rianhdyts,Kalo bayar cukainya gede mah gak bayar cukainya gede mah tidak mngganggu kali bos
659,zulvisuals,wduh
660,_.vrinn,"Pake Kaos semen tiga roda lebih aman di jamin no bocor"""
661,cindyshrdi,"Selain budaya thrifting, PO Bangkok/ china, seliweran banget, memperkaya negara laen 😄"
662,hazrqd,"yaudah tutup aja pelabuhan ball di Batam dan tanah Abang, HABISIN toko yg nyediain ball item trift, niscaya bakalan byk rakyat yg jadi kesel karena diginiin"
663,iamarshvn,"Kocak ganggu nya gimana kali, hadeh rezeki udah punya masing2 masih aja nyenggol usaha orang, harus nya Lo Lo orang yang punya brand sendiri, punya merek sendiri, Lo bisa lebih berkarya dan lebih dari orang yang jual barang second, ciri2 orang gak punya kreatifitas yah begitu, mangkanya kalo usaha itu jangan mikir CUAN NYA MULU, tapi Lo pikirin tuh gimana cara nya brand lu bisa terus bergerak dan berkembang jauh ke depan, hadeh bisa nya cuma ngeluh, orang usaha jualan second di kritik, KACAU LO PUTUSIN REZEKI ORANG LAIN AJA CENGENG WOY!!!"
664,rindu_ootd,"Padahal pasarnya thrift udah banyak dari kapan tahun pak, kenapa baru mau sekarang sih di cekal dan di larang😢😢😢."
665,lickies.shoes,matinyaaa kitaakkkk
666,awang_saesang,Tapi bisnis itu yg bisa menopang kehidupan menyambung biaya hidup orang2 yg tidak mempunyai penghasilan tetap pak.... 😢😢😢
667,wiradimadja,"PAJAKIN PAK, apa yang lagi trending cuan pajakin lah... 👏"
668,yfmsh_,siapp pake kaos beruangg petirr😍😍
669,oursell.id,"Kasian kalo @oursell.id ga jualan pak wkwkw, skinkerku ga ditanggung negara soalnya😩😭🥺"
670,tehryooo,Tingkatkan kualitas barang lokal jangan cuma bilang stop beli thrift luar
671,tehryooo,Harganya mahal cuk Pakai lokal kui opo maneh bahan e terlalu letoy gampang suek yen thirf(brand luar) bahan e apik harga lebih murah
672,septyrd,hehe bilang aja mau dikenain pajak
673,recynoo,🥱🥱🥱🥱🥱
674,_ttsputm,sekarang mah lebih proud pake local brand.
675,gubrack,"Saingan dengan pakaian bekas aja mengeluh... Sekali lagi, cuma pakaian bekas!"
676,uwims_,😢😢
677,nineteen.market,Untung udah pindah negara 🙌
678,draggonboll,Info kaos partai
679,nanangsand_,Pdhal yg lebih mengganggu para pejabat² yg korup ehh
680,m.yu_suff,Pemuja brand
681,rivaldo_1599,Kalau ramai ntr dilanjut part 2nya
682,pemudatersesatfans,"Iya pa, nanti pakai baju partai kebanggaan bapa"
683,raaafli.s,Bikin Brand lokal bekas si
684,rrtspt,"lagi rame, gimana obos thrift tanggapannya? @lesmana3527"
685,aldi__fauzan,Minimal punten2 ke b*a c*kai biar ga ganggu
686,ichiba_,Lucunya wakanda..
687,growiebol,WOILAHHH
688,nrllissa._,@egolgole gimana nihhh
689,_bunsinansopo,mksdnya apa ya bang messi?
690,ipinn_2,ujung ujungnyage lo minta pajak kalo mau jualan trift🤪🤪
691,jewluxx.id,Klo thrift gmn ??
692,raulrmdhnnn,kan ga semua orang pake baju bekas
693,cariajalagi_,"Kalo tidak bisa kasih SOLUSI jangan MELARANG, kalo tidak bisa MEMBANTU jangan MENYUSAHKAN"
694,speniawan,Kapan surat vaksin di stop?
695,goodtweede,"Follow aja akun aku goodtweede 😂, banyak barang enak ✌🏻"
696,fujiuji08,Apa kabar pasar cimol gede bage yaakssss @riskaktksr 😂
697,yuvi_oh,"Sama dong hal nya impor mobil dari luar, mengganggu industri mobil dalam negeri (ASEMKA)"
698,_muhzakiiii,yoo ndak tauu
699,ariinaeka,Suka barang thrifting apa lagi crewneck soalnya luculucu
700,thiapradana,@muhammadraviasra
701,cellinmarcel_,💔💔💔
702,mayschapter,Betul pak
703,reitta_one,Koruptor mengganggu keuangan dalam negeri 🔥🔥🔥
704,sts_rani,Pabrikku produksi daster lokal bagus 🙌❤️ eh pabrik bos aku 😂
705,sundanesemerch.id,"nge thrift 50k dapet bahan bagus,,lokal brand 50k udah kaya kaos partai sekali cuci sablon nya berubah aneh🤣"
706,mu.bachtiar,WoW
707,sepatuvermaxbandung,Bukan akun thrifting yg harus ditutup pak presiden.. tutuplah akun2 penjual barang2 murah dari china semua di e-commerce yg ada disini!! SIMPLE BERES!! Itu permasalahan utama UMKM disini tidak akan berkembang.. karena kalah bersaing.🔥🔥🔥
708,ahsanul415,Sistem kredit yg merugikan itu
709,rizqywahyus_,🔥🔥🔥
710,union_ninja_independent,Outfit outfit blegedesss
711,iuhgley,Hadeh
712,fachrul.ramdhnn,Otw kaos beruang petir😂
713,deheyaaa15,Ari import beras emg teu ngaganggu petani lokal kitu pak.. coba urusin yg receh2 dulu
714,wijayaandrikaa,"Dari duluuuuu, baru nyadarnya sekarang."
715,fahrifatch,@foreign3r_
716,xyns.ari,"Pak tolong kami rakyat kecil,jangan persulit kami menjemput  rezeki 😢"
717,niizaaaaaa_,@njwpshh ottokee
718,txyhhh_,Solusi nya gimnaaa ? 😢
719,lianitavan_y,Naikkan kesejahteraan rakyat biar bisa beli baju lokal 300k. Thrifting di pasar udah dapat 10 baju itu
720,ztzkab,"Gimana kabarnya impor beras, dll?"
721,griffann.n,"terus upaya pemerintah dalam mengurangi limbah pakaian ini dikemanain yaa, gak semua industri dan masyarakat mau mendaur ulangg🤔"
722,nawaidi78,Stop impor beras 🤣🤣
723,ochid1974,"Buah, sayur , beras , kedelai bahkan  garam impor juga menggangu petani lokal pak,..."
724,easyshop_japan,"Jadi, enaknya gimana?"
725,astronotluarangkasa_,info loker pakde joko👀
726,utiz_andryan,Senengnya matiin rezeki orang aja herman sama mereka. Bukannya kembangin negara dengan ngasih solusi SDM nya harus bagaimana!!! Nah mereka nyari-nyari cuan masyarakat agar masuk pajak ke kantongnya
727,cho.ariga,Statement 🖕🏼
728,valcupu,Apa dah
729,raihandesram,lahhh
730,giant_paulo,Dah malahan pemerintah yang mengganggu ekonomi masyarakat
731,hayyymuls_,Karena gk ada pajaknya aja ini
732,frssaken,MAHAL
733,warasaddam,Bisnis import pakaian ber merk ga dipermasalahin pak? Ngakak
734,_dimasprastyooo,"baju bekas udah ada dari jaman baheula, sebelum distro distro menyerang mereka udah ada duluan, pas distro lagi hype hype nya bahkan kaos dijual 300ribu/pcs pun, baju bekas ga ngeganggu market mereka, cuman mungkin sehabis pandemi kali ya, lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit sampe sekarang, seharusnya sih bisa beriiringan ya, ya meski diundang undang emang salah sih karna impor barang bekas emang illegal, tapi kalo diliat kesejahteraan, banyak orang yang sekedar cukup dari sini, disaat lapangan kerja lagi pada nendangin orang satu per satu, thrift jadi solusi paling gampang menurut gua, klo thrift di stop dan larinya ke UMKM, yang sejahtera yang udah punya brand besar, dia dia orang aja yang sejahtera, sedangkan gue yakin 70% dari kita pasti pernah nyoba bikin brand clothing sendiri, dan itu susahnya naujubillah, mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju, gue bilang mostly loh ya, ga semuanya. tetep ada yang dari 0 juga, tapi ya gimana ya bingung juga si, kalo di stop larinya ke brand lokal that's okay lah, tapi kalo larinya ke brand brand mall yang bukan lokal, sama aja dong?"
735,sigit_setiawan93,barang bekas dari sampah orang luar negri malah di beli. disana lo dibuang atau dibakar untuk mengurangi limbah tekstil
736,marcb_666,"Tetap bertahan utk local pride,ditengah gencaran thrift🔥🔥🔥🔥"
737,gxparrr,"beras impor,bawang impor,daging sapi impor juga STOP dong. merugikan petani dan peternak chaaakz😂"
738,8funn_,Support lokal brand? Alahh kadang yg lokal juga harga nya berasa ky brand luar
739,ir_wanzzzz,"Iya nih, kasian brand brand lokal yg sudah membuat barang bagus dan murah malah kalah sama barang luar bekas, kualitas lokal juga pasti bisa setara sama kualitas luar, jelas sangat merusak pasar brand lokal"
740,cep_ridwan10,Dan impor barang2 lainya pak 😂
741,fakhruddin_luthfi,Baju thrift banyak yang masuk secara ilegal
742,vito_mahesa14,"Ribuan orang jualan thrift, Jika dilarang akan terjadi pengangguran dan nambah pengangguran , Jika merugikan lokal  seharusnya bersaing bukan melarang 😅"
743,nesyaurbani03,Seru tau pak ngethrift 🤣 bapak pernah gak beli baju 20rb bahan bagus banget kek baju brand di emol🤣 trus nyarinya Ampe keringet bercucuran kadang ada yang cuma di taro di lantai kudu kerja keras dulu milihin satu2 🤣 lebih murah lagi di lantai di gundukan baju 5rb Ampe 10rb 🤣
744,fadly.ards10,"Aku juga suka ke ganggu pak,/ soalnya punya banyak utang jadi gak kaya kaya susah Mulu gak maju deh hidup/:hehe"
745,hello.mamachaa,Definisi apa yg dilakukan selalu salah 😢
746,stjjanah,@arlynaa_
747,wildan06s,Lokal aja udh keren tapi luar lebih keren sih wkwk
748,ehhlil,"Gw si setuju kata pak jokowi, tapi apapun kata Ma'ruf Amin ga setuju gw suer deh 😂"
749,laaarass_,yang penting 100 dapet 4 hahaha
750,simplx.y,Bodmat lanjut thrifting
