,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
945,martinronaldohendriks,Klo soal virus di baju impor. Sebelum di pake makanya harus di cuci bersih dulu. Baju impor murah dan bahan berkualitas klo lokal udah mahal bahannya juga gak sebanding😢,Klo soal virus di baju impor  Sebelum di pake makanya harus di cuci bersih dulu  Baju impor murah dan bahan berkualitas klo lokal udah mahal bahannya juga gak sebanding,klo soal virus di baju impor  sebelum di pake makanya harus di cuci bersih dulu  baju impor murah dan bahan berkualitas klo lokal udah mahal bahannya juga gak sebanding,"['klo', 'soal', 'virus', 'di', 'baju', 'impor', 'sebelum', 'di', 'pake', 'makanya', 'harus', 'di', 'cuci', 'bersih', 'dulu', 'baju', 'impor', 'murah', 'dan', 'bahan', 'berkualitas', 'klo', 'lokal', 'udah', 'mahal', 'bahannya', 'juga', 'gak', 'sebanding']",virus baju impor pake cuci bersih baju impor murah bahan berkualitas lokal udah mahal bahannya sebanding,virus baju impor pakai cuci bersih baju impor murah bahan berkualitas lokal sudah mahal bahannya sebanding,virus baju impor pakai cuci bersih baju impor murah bahan kualitas lokal sudah mahal bahan banding
946,nurandalask,"Jangan ganggu Cimol kami Pak, aku udh biasa belanja 100 ribu dapet 5 Baju soalnya, Cimol idodalku 🙏",Jangan ganggu Cimol kami Pak  aku udh biasa belanja ribu dapet Baju soalnya  Cimol idodalku,jangan ganggu cimol kami pak  aku udh biasa belanja ribu dapet baju soalnya  cimol idodalku,"['jangan', 'ganggu', 'cimol', 'kami', 'pak', 'aku', 'udh', 'biasa', 'belanja', 'ribu', 'dapet', 'baju', 'soalnya', 'cimol', 'idodalku']",ganggu cimol udh belanja ribu dapet baju cimol idodalku,ganggu cimol sudah belanja ribu dapet baju cimol idodalku,ganggu cimol sudah belanja ribu dapet baju cimol idodalku
948,sitinurhidayah2911,kalo koruptor mengganggu industri dalam negri gak pak ?,kalo koruptor mengganggu industri dalam negri gak pak,kalo koruptor mengganggu industri dalam negri gak pak,"['kalo', 'koruptor', 'mengganggu', 'industri', 'dalam', 'negri', 'gak', 'pak']",koruptor mengganggu industri negri,koruptor mengganggu industri negeri,koruptor ganggu industri negeri
949,iyannoya_run79,Gak usah urus baju bekas pak... mereka bayar pajak juga itu... yang diurus itu Uang pajak pade hilang pak. Gimana bu @smindrawati,Gak usah urus baju bekas pak  mereka bayar pajak juga itu  yang diurus itu Uang pajak pade hilang pak  Gimana bu,gak usah urus baju bekas pak  mereka bayar pajak juga itu  yang diurus itu uang pajak pade hilang pak  gimana bu,"['gak', 'usah', 'urus', 'baju', 'bekas', 'pak', 'mereka', 'bayar', 'pajak', 'juga', 'itu', 'yang', 'diurus', 'itu', 'uang', 'pajak', 'pade', 'hilang', 'pak', 'gimana', 'bu']",urus baju bekas bayar pajak diurus uang pajak pade hilang gimana bu,urus baju bekas bayar pajak diurus uang pajak pade hilang bagaimana bu,urus baju bekas bayar pajak urus uang pajak pade hilang bagaimana bu
950,hemia_abdullah,Pak tolongin kawal kasus Baubau pak @jokowi,Pak tolongin kawal kasus Baubau pak,pak tolongin kawal kasus baubau pak,"['pak', 'tolongin', 'kawal', 'kasus', 'baubau', 'pak']",tolongin kawal baubau,tolongin kawal baubau,tolongin kawal baubau
951,mhmd.taufiq23_,"#stopthrifting budayakan membeli barang dari dalam negri,supaya harga normal kembali.",budayakan membeli barang dari dalam negri supaya harga normal kembali,budayakan membeli barang dari dalam negri supaya harga normal kembali,"['budayakan', 'membeli', 'barang', 'dari', 'dalam', 'negri', 'supaya', 'harga', 'normal', 'kembali']",budayakan membeli barang negri harga normal,budayakan membeli barang negeri harga normal,budaya beli barang negeri harga normal
952,gnradhitya,Lah kocak,Lah kocak,lah kocak,"['lah', 'kocak']",kocak,kocak,kocak
953,deniwidendra,@gapoganteng lanjut om gapo.. sesama dalboers kudu strong,lanjut om gapo  sesama dalboers kudu strong,lanjut om gapo  sesama dalboers kudu strong,"['lanjut', 'om', 'gapo', 'sesama', 'dalboers', 'kudu', 'strong']",om gapo dalboers kudu strong,om tidak apa-apa dalboers kudu strong,om tidak apa dalboers kudu strong
954,societhrift__,"Thrifting itu sangat bagus untuk perputaran ekonomi, dengan harga yang terjangkau dan kualitas yang bagus, semua orang bisa menikmatinya. Kalo justru di lihat-lihat malah import bawang, beras, dll yang merugikan Petani Lokal, karena jelas"" tanah kita lengkap semuanya dan kualitasnya bagus, tapi kenapa masih ada yang import ? 😪",Thrifting itu sangat bagus untuk perputaran ekonomi  dengan harga yang terjangkau dan kualitas yang bagus  semua orang bisa menikmatinya  Kalo justru di lihat lihat malah import bawang  beras  dll yang merugikan Petani Lokal  karena jelas  tanah kita lengkap semuanya dan kualitasnya bagus  tapi kenapa masih ada yang import,thrifting itu sangat bagus untuk perputaran ekonomi  dengan harga yang terjangkau dan kualitas yang bagus  semua orang bisa menikmatinya  kalo justru di lihat lihat malah import bawang  beras  dll yang merugikan petani lokal  karena jelas  tanah kita lengkap semuanya dan kualitasnya bagus  tapi kenapa masih ada yang import,"['thrifting', 'itu', 'sangat', 'bagus', 'untuk', 'perputaran', 'ekonomi', 'dengan', 'harga', 'yang', 'terjangkau', 'dan', 'kualitas', 'yang', 'bagus', 'semua', 'orang', 'bisa', 'menikmatinya', 'kalo', 'justru', 'di', 'lihat', 'lihat', 'malah', 'import', 'bawang', 'beras', 'dll', 'yang', 'merugikan', 'petani', 'lokal', 'karena', 'jelas', 'tanah', 'kita', 'lengkap', 'semuanya', 'dan', 'kualitasnya', 'bagus', 'tapi', 'kenapa', 'masih', 'ada', 'yang', 'import']",thrifting bagus perputaran ekonomi harga terjangkau kualitas bagus orang menikmatinya lihat lihat import bawang beras dll merugikan petani lokal tanah lengkap kualitasnya bagus import,thrifting bagus perputaran ekonomi harga terjangkau kualitas bagus orang menikmatinya lihat lihat import bawang beras dan lain-lain merugikan petani lokal tanah lengkap kualitasnya bagus import,thrifting bagus putar ekonomi harga jangkau kualitas bagus orang nikmat lihat lihat import bawang beras dan lain rugi tani lokal tanah lengkap kualitas bagus import
956,_.nonov,@lssy.b_ @agnesya.l @prslya_15 GALAPPP😢,b_  GALAPP,b_  galapp,"['b_', 'galapp']",b_ galapp,b_ galapp,b galapp
957,arif.combo,Tapi tapi kan Save the World,Tapi tapi kan Save the World,tapi tapi kan save the world,"['tapi', 'tapi', 'kan', 'save', 'the', 'world']",save the world,save the dunia,save the dunia
958,abunkerchamber.id,BACOT,BACOT,bacot,['bacot'],bacot,bacot,bacot
959,pemenangss,MANG YEAAAA? @jokowi @kemendag,MANG YEAA,mang yeaa,"['mang', 'yeaa']",mang yeaa,mang yeaa,mang yeaa
960,personal_thrifthing,Jan lupa mampir kak,Jan lupa mampir kak,jan lupa mampir kak,"['jan', 'lupa', 'mampir', 'kak']",jan lupa mampir kak,jan lupa mampir kak,jan lupa mampir kak
961,hannyadetia,"Lokal mahall, soalnya duit gue masih sedikit wkwkw",Lokal mahall  soalnya duit gue masih sedikit wkwkw,lokal mahall  soalnya duit gue masih sedikit wkwkw,"['lokal', 'mahall', 'soalnya', 'duit', 'gue', 'masih', 'sedikit', 'wkwkw']",lokal mahall duit gue wkwkw,lokal mahall duit saya wkwkw,lokal mahall duit saya wkwkw
962,hydraamll,Bisnis nikel yang bapak kembangin juga ngerusak ekosistem bumi uwu,Bisnis nikel yang bapak kembangin juga ngerusak ekosistem bumi uwu,bisnis nikel yang bapak kembangin juga ngerusak ekosistem bumi uwu,"['bisnis', 'nikel', 'yang', 'bapak', 'kembangin', 'juga', 'ngerusak', 'ekosistem', 'bumi', 'uwu']",bisnis nikel kembangin ngerusak ekosistem bumi uwu,bisnis nikel kembangin merusak ekosistem bumi uwu,bisnis nikel kembangin rusak ekosistem bumi uwu
963,rsydsept_,"Mendingan tingkatkan kualitas umkm deh pak. Produk umkm bagus sih, cuman mahal nyaaa gak nahan.",Mendingan tingkatkan kualitas umkm deh pak  Produk umkm bagus sih  cuman mahal nyaa gak nahan,mendingan tingkatkan kualitas umkm deh pak  produk umkm bagus sih  cuman mahal nyaa gak nahan,"['mendingan', 'tingkatkan', 'kualitas', 'umkm', 'deh', 'pak', 'produk', 'umkm', 'bagus', 'sih', 'cuman', 'mahal', 'nyaa', 'gak', 'nahan']",mendingan tingkatkan kualitas umkm deh produk umkm bagus cuman mahal nyaa nahan,mendingan tingkatkan kualitas umkm deh produk umkm bagus cuma mahal nyaa nahan,mending tingkat kualitas umkm deh produk umkm bagus cuma mahal nyaa nahan
964,radityavisuals.dp,"Kalo terancam, industri negerinya kurang inovatif berarti",Kalo terancam  industri negerinya kurang inovatif berarti,kalo terancam  industri negerinya kurang inovatif berarti,"['kalo', 'terancam', 'industri', 'negerinya', 'kurang', 'inovatif', 'berarti']",terancam industri negerinya inovatif,terancam industri negerinya inovatif,ancam industri negeri inovatif
965,b.i.m.a.n.t.a.r.a,solusinya kita sabar dan jangan sampe ada 3 periode,solusinya kita sabar dan jangan sampe ada periode,solusinya kita sabar dan jangan sampe ada periode,"['solusinya', 'kita', 'sabar', 'dan', 'jangan', 'sampe', 'ada', 'periode']",solusinya sabar sampe periode,solusinya sabar sampai periode,solusi sabar sampai periode
966,_inibukanarsil,"@acilthrif.id follow dulu,maap belum up barang soalnyaa lagi ada inpo kaya beginian",id follow dulu maap belum up barang soalnyaa lagi ada inpo kaya beginian,id follow dulu maap belum up barang soalnyaa lagi ada inpo kaya beginian,"['id', 'follow', 'dulu', 'maap', 'belum', 'up', 'barang', 'soalnyaa', 'lagi', 'ada', 'inpo', 'kaya', 'beginian']",id follow maap up barang soalnyaa inpo kaya,id follow maap up barang soalnyaa informasi kaya,id follow maap up barang soalnyaa informasi kaya
967,__peronalue__,Padahal mksdnya biar bisa 3R utk menekan textile waste. Mending itu jalan jakarta yg bolong2 benerin dlu pak biar gk ada kecelakaan2 lagi yang secara langsung mengganggu kehidupan & kesehatan mental-fisik masyarakat.,Padahal mksdnya biar bisa utk menekan textile waste  Mending itu jalan jakarta yg bolong benerin dlu pak biar gk ada kecelakaan lagi yang secara langsung mengganggu kehidupan  kesehatan mental fisik masyarakat,padahal mksdnya biar bisa utk menekan textile waste  mending itu jalan jakarta yg bolong benerin dlu pak biar gk ada kecelakaan lagi yang secara langsung mengganggu kehidupan  kesehatan mental fisik masyarakat,"['padahal', 'mksdnya', 'biar', 'bisa', 'utk', 'menekan', 'textile', 'waste', 'mending', 'itu', 'jalan', 'jakarta', 'yg', 'bolong', 'benerin', 'dlu', 'pak', 'biar', 'gk', 'ada', 'kecelakaan', 'lagi', 'yang', 'secara', 'langsung', 'mengganggu', 'kehidupan', 'kesehatan', 'mental', 'fisik', 'masyarakat']",mksdnya menekan textile waste mending jalan jakarta bolong benerin dlu gk kecelakaan langsung mengganggu kehidupan kesehatan mental fisik masyarakat,maksudnya menekan textile waste mending jalan jakarta bolong benerin dulu tidak kecelakaan langsung mengganggu kehidupan kesehatan mental fisik masyarakat,maksud tekan textile waste mending jalan jakarta bolong benerin dulu tidak celaka langsung ganggu hidup sehat mental fisik masyarakat
968,_ariskaaaaa.12,Tpi saya suka baju baju nya pak kumaha?😂,Tpi saya suka baju baju nya pak kumaha,tpi saya suka baju baju nya pak kumaha,"['tpi', 'saya', 'suka', 'baju', 'baju', 'nya', 'pak', 'kumaha']",tpi suka baju baju kumaha,tapi suka baju baju bagaimana,tapi suka baju baju bagaimana
969,superkoy0y,Kaos di indo mahal soalnya pak,Kaos di indo mahal soalnya pak,kaos di indo mahal soalnya pak,"['kaos', 'di', 'indo', 'mahal', 'soalnya', 'pak']",kaos indo mahal,kaos indonesia mahal,kaos indonesia mahal
970,lamineraleez,Oke,Oke,oke,['oke'],oke,oke,oke
971,sandottttt_,Brand Proshop sama black id siap2 gespernya 😋,Brand Proshop sama black id siap gespernya,brand proshop sama black id siap gespernya,"['brand', 'proshop', 'sama', 'black', 'id', 'siap', 'gespernya']",brand proshop black id gespernya,brand proshop black id gespernya,brand proshop black id gesper
972,romsadkhn_,"Baju lokal mahal karena bayar pajak, beli bahan baku, bayar sponsor, bayar karyawan, bayar jasa2 lainnya. Jadi yg masih komen kenapa brand indo mahal ya karena baru😢 bingung sama pemikiran orang Indonesia kenapa ga mikir ke situ. Sedangkan thrift is baju keas yg illegal masuk ke indo makanya murah coba yg legal pasti mahal juga kok karena menggunakan jasa itu bayar",Baju lokal mahal karena bayar pajak  beli bahan baku  bayar sponsor  bayar karyawan  bayar jasa lainnya  Jadi yg masih komen kenapa brand indo mahal ya karena baru  bingung sama pemikiran orang Indonesia kenapa ga mikir ke situ  Sedangkan thrift is baju keas yg illegal masuk ke indo makanya murah coba yg legal pasti mahal juga kok karena menggunakan jasa itu bayar,baju lokal mahal karena bayar pajak  beli bahan baku  bayar sponsor  bayar karyawan  bayar jasa lainnya  jadi yg masih komen kenapa brand indo mahal ya karena baru  bingung sama pemikiran orang indonesia kenapa ga mikir ke situ  sedangkan thrift is baju keas yg illegal masuk ke indo makanya murah coba yg legal pasti mahal juga kok karena menggunakan jasa itu bayar,"['baju', 'lokal', 'mahal', 'karena', 'bayar', 'pajak', 'beli', 'bahan', 'baku', 'bayar', 'sponsor', 'bayar', 'karyawan', 'bayar', 'jasa', 'lainnya', 'jadi', 'yg', 'masih', 'komen', 'kenapa', 'brand', 'indo', 'mahal', 'ya', 'karena', 'baru', 'bingung', 'sama', 'pemikiran', 'orang', 'indonesia', 'kenapa', 'ga', 'mikir', 'ke', 'situ', 'sedangkan', 'thrift', 'is', 'baju', 'keas', 'yg', 'illegal', 'masuk', 'ke', 'indo', 'makanya', 'murah', 'coba', 'yg', 'legal', 'pasti', 'mahal', 'juga', 'kok', 'karena', 'menggunakan', 'jasa', 'itu', 'bayar']",baju lokal mahal bayar pajak beli bahan baku bayar sponsor bayar karyawan bayar jasa komen brand indo mahal bingung pemikiran orang indonesia mikir situ thrift is baju keas illegal masuk indo murah coba legal mahal jasa bayar,baju lokal mahal bayar pajak beli bahan baku bayar sponsor bayar karyawan bayar jasa komen brand indonesia mahal bingung pemikiran orang indonesia berfikir situ thrift is baju keas illegal masuk indonesia murah coba legal mahal jasa bayar,baju lokal mahal bayar pajak beli bahan baku bayar sponsor bayar karyawan bayar jasa komen brand indonesia mahal bingung pikir orang indonesia berfikir situ thrift is baju keas illegal masuk indonesia murah coba legal mahal jasa bayar
973,youth.markettt,ada apa ini ?? sory baru beli hp baru,ada apa ini  sory baru beli hp baru,ada apa ini  sory baru beli hp baru,"['ada', 'apa', 'ini', 'sory', 'baru', 'beli', 'hp', 'baru']",sory beli hp,maaf beli hp,maaf beli hp
974,zmbkzkt345,kebanyakan ngomong...noh grebek senen...banyak kliaran di tiktok,kebanyakan ngomong  noh grebek senen  banyak kliaran di tiktok,kebanyakan ngomong  noh grebek senen  banyak kliaran di tiktok,"['kebanyakan', 'ngomong', 'noh', 'grebek', 'senen', 'banyak', 'kliaran', 'di', 'tiktok']",kebanyakan ngomong noh grebek senen kliaran tiktok,kebanyakan ngomong noh grebek senin kliaran tiktok,banyak ngomong noh grebek senin kliaran tiktok
975,ayurizky17_,Gimana genset masing² sih,Gimana genset masing² sih,gimana genset masing² sih,"['gimana', 'genset', 'masing²', 'sih']",gimana genset masing²,bagaimana genset masing²,bagaimana genset masing
976,lilis.fitriyaa,aku baca pas aku lagi pakai baju trift an😣,aku baca pas aku lagi pakai baju trift an,aku baca pas aku lagi pakai baju trift an,"['aku', 'baca', 'pas', 'aku', 'lagi', 'pakai', 'baju', 'trift', 'an']",baca pas pakai baju trift an,baca pas pakai baju trift an,baca pas pakai baju trift an
978,fuelindicator,mana nih si paling brand,mana nih si paling brand,mana nih si paling brand,"['mana', 'nih', 'si', 'paling', 'brand']",brand,brand,brand
979,nia_twinkle,Terserah orang mau beli oakaian yg mana. Jangan.Penjualannya yg dihentikan tapi sebaiknya Brand Lokal yg tingkatkan Kualitas. Jangan halang - halangi Rejekinya orang coz penjual pakaian Thrifting juga warga negara Republik Indonesia yang juga membayar Pajak!!!,Terserah orang mau beli oakaian yg mana  Jangan Penjualannya yg dihentikan tapi sebaiknya Brand Lokal yg tingkatkan Kualitas  Jangan halang  halangi Rejekinya orang coz penjual pakaian Thrifting juga warga negara Republik Indonesia yang juga membayar Pajak,terserah orang mau beli oakaian yg mana  jangan penjualannya yg dihentikan tapi sebaiknya brand lokal yg tingkatkan kualitas  jangan halang  halangi rejekinya orang coz penjual pakaian thrifting juga warga negara republik indonesia yang juga membayar pajak,"['terserah', 'orang', 'mau', 'beli', 'oakaian', 'yg', 'mana', 'jangan', 'penjualannya', 'yg', 'dihentikan', 'tapi', 'sebaiknya', 'brand', 'lokal', 'yg', 'tingkatkan', 'kualitas', 'jangan', 'halang', 'halangi', 'rejekinya', 'orang', 'coz', 'penjual', 'pakaian', 'thrifting', 'juga', 'warga', 'negara', 'republik', 'indonesia', 'yang', 'juga', 'membayar', 'pajak']",terserah orang beli oakaian penjualannya dihentikan brand lokal tingkatkan kualitas halang halangi rejekinya orang coz penjual pakaian thrifting warga negara republik indonesia membayar pajak,terserah orang beli oakaian penjualannya dihentikan brand lokal tingkatkan kualitas halang halangi rejekinya orang coz penjual pakaian thrifting warga negara republik indonesia membayar pajak,serah orang beli oakaian jual henti brand lokal tingkat kualitas halang halang rejekinya orang coz jual pakai thrifting warga negara republik indonesia bayar pajak
981,qiiwabm,"Tapi ga bikin nyampah pak, keren keren jg pak, gmn dong ? Gw sihh tetep beli produk lokal jg , jd yaa berusaha d imbangi aja sihh biar adilll",Tapi ga bikin nyampah pak  keren keren jg pak  gmn dong  Gw sihh tetep beli produk lokal jg  jd yaa berusaha imbangi aja sihh biar adill,tapi ga bikin nyampah pak  keren keren jg pak  gmn dong  gw sihh tetep beli produk lokal jg  jd yaa berusaha imbangi aja sihh biar adill,"['tapi', 'ga', 'bikin', 'nyampah', 'pak', 'keren', 'keren', 'jg', 'pak', 'gmn', 'dong', 'gw', 'sihh', 'tetep', 'beli', 'produk', 'lokal', 'jg', 'jd', 'yaa', 'berusaha', 'imbangi', 'aja', 'sihh', 'biar', 'adill']",nyampah keren keren jg gmn gw sihh tetep beli produk lokal jg yaa berusaha imbangi sihh adill,nyampah keren keren juga bagaimana saya sihh tetap beli produk lokal juga yaa berusaha imbangi sihh adill,nyampah keren keren juga bagaimana saya sihh tetap beli produk lokal juga yaa usaha imbang sihh adill
982,alexandraalwd,"Jelek ngapain dibeli, yg bagus2 rate harganya kayak beli di mall barang pnb zara gucci",Jelek ngapain dibeli  yg bagus rate harganya kayak beli di mall barang pnb zara gucci,jelek ngapain dibeli  yg bagus rate harganya kayak beli di mall barang pnb zara gucci,"['jelek', 'ngapain', 'dibeli', 'yg', 'bagus', 'rate', 'harganya', 'kayak', 'beli', 'di', 'mall', 'barang', 'pnb', 'zara', 'gucci']",jelek ngapain dibeli bagus rate harganya kayak beli mall barang pnb zara gucci,jelek ngapain dibeli bagus rate harganya seperti beli mall barang pnb zara gucci,jelek ngapain beli bagus rate harga seperti beli mall barang pnb zara gucci
983,radeputu,"Fenomena thrif itu hy satu dampak dr kegagalan pemerintah yg msh masuk kedalam negara UMR rendah ntar klo dah minim seperti malaysia pasti pilih barang baru dan branded mikir2 klo ga terpaksa beli thrift bekas bau, bekas orang penyakitan , orang mati😱 lagian biar industri dlm negri yg ga berkualitas gulung tikar apaan produk ga mutu , ga awet ini juga bakal jd sampah yg merusak lingkungan fokus ke kualitas jgn hy kuantitas klo bsa bekasnya yg berkualitas produk dlm negri yg membanjiri thrift kedepan",Fenomena thrif itu hy satu dampak dr kegagalan pemerintah yg msh masuk kedalam negara UMR rendah ntar klo dah minim seperti malaysia pasti pilih barang baru dan branded mikir klo ga terpaksa beli thrift bekas bau  bekas orang penyakitan  orang mati  lagian biar industri dlm negri yg ga berkualitas gulung tikar apaan produk ga mutu  ga awet ini juga bakal jd sampah yg merusak lingkungan fokus ke kualitas jgn hy kuantitas klo bsa bekasnya yg berkualitas produk dlm negri yg membanjiri thrift kedepan,fenomena thrif itu hy satu dampak dr kegagalan pemerintah yg msh masuk kedalam negara umr rendah ntar klo dah minim seperti malaysia pasti pilih barang baru dan branded mikir klo ga terpaksa beli thrift bekas bau  bekas orang penyakitan  orang mati  lagian biar industri dlm negri yg ga berkualitas gulung tikar apaan produk ga mutu  ga awet ini juga bakal jd sampah yg merusak lingkungan fokus ke kualitas jgn hy kuantitas klo bsa bekasnya yg berkualitas produk dlm negri yg membanjiri thrift kedepan,"['fenomena', 'thrif', 'itu', 'hy', 'satu', 'dampak', 'dr', 'kegagalan', 'pemerintah', 'yg', 'msh', 'masuk', 'kedalam', 'negara', 'umr', 'rendah', 'ntar', 'klo', 'dah', 'minim', 'seperti', 'malaysia', 'pasti', 'pilih', 'barang', 'baru', 'dan', 'branded', 'mikir', 'klo', 'ga', 'terpaksa', 'beli', 'thrift', 'bekas', 'bau', 'bekas', 'orang', 'penyakitan', 'orang', 'mati', 'lagian', 'biar', 'industri', 'dlm', 'negri', 'yg', 'ga', 'berkualitas', 'gulung', 'tikar', 'apaan', 'produk', 'ga', 'mutu', 'ga', 'awet', 'ini', 'juga', 'bakal', 'jd', 'sampah', 'yg', 'merusak', 'lingkungan', 'fokus', 'ke', 'kualitas', 'jgn', 'hy', 'kuantitas', 'klo', 'bsa', 'bekasnya', 'yg', 'berkualitas', 'produk', 'dlm', 'negri', 'yg', 'membanjiri', 'thrift', 'kedepan']",fenomena thrif hy dampak dr kegagalan pemerintah msh masuk kedalam negara umr rendah ntar dah minim malaysia pilih barang branded mikir terpaksa beli thrift bekas bau bekas orang penyakitan orang mati industri dlm negri berkualitas gulung tikar produk mutu awet sampah merusak lingkungan fokus kualitas hy kuantitas bsa bekasnya berkualitas produk dlm negri membanjiri thrift kedepan,fenomena thrif hy dampak dari kegagalan pemerintah masih masuk kedalam negara umr rendah nanti sudah minim malaysia pilih barang branded berfikir terpaksa beli thrift bekas bau bekas orang penyakitan orang mati industri dalam negeri berkualitas gulung tikar produk mutu awet sampah merusak lingkungan fokus kualitas hy kuantitas bisa bekasnya berkualitas produk dalam negeri membanjiri thrift kedepan,fenomena thrif hy dampak dari gagal perintah masih masuk dalam negara umr rendah nanti sudah minim malaysia pilih barang branded berfikir paksa beli thrift bekas bau bekas orang sakit orang mati industri dalam negeri kualitas gulung tikar produk mutu awet sampah rusak lingkung fokus kualitas hy kuantitas bisa bekas kualitas produk dalam negeri banjir thrift depan
984,novitaraniyy___,Jangan senggol thrift pak Sumpah dah jadi sensi kan,Jangan senggol thrift pak Sumpah dah jadi sensi kan,jangan senggol thrift pak sumpah dah jadi sensi kan,"['jangan', 'senggol', 'thrift', 'pak', 'sumpah', 'dah', 'jadi', 'sensi', 'kan']",senggol thrift sumpah dah sensi,senggol thrift sumpah sudah sensi,senggol thrift sumpah sudah sensi
985,mnnajiib,"Bersaing ngeluh SDM kita minim sekali. Lunulis aja pulpen nya dari cina,90℅ barang dirumah aja cina ko sok2an lokal pride. PAKAI BATIK KONDANGAN DOANG, MIKIRNYA KALO PAKE BATIK PASTI ABIS DARI KONDANGAN DOANG",Bersaing ngeluh SDM kita minim sekali  Lunulis aja pulpen nya dari cina  barang dirumah aja cina ko sok an lokal pride  PAKAI BATIK KONDANGAN DOANG  MIKIRNYA KALO PAKE BATIK PASTI ABIS DARI KONDANGAN DOANG,bersaing ngeluh sdm kita minim sekali  lunulis aja pulpen nya dari cina  barang dirumah aja cina ko sok an lokal pride  pakai batik kondangan doang  mikirnya kalo pake batik pasti abis dari kondangan doang,"['bersaing', 'ngeluh', 'sdm', 'kita', 'minim', 'sekali', 'lunulis', 'aja', 'pulpen', 'nya', 'dari', 'cina', 'barang', 'dirumah', 'aja', 'cina', 'ko', 'sok', 'an', 'lokal', 'pride', 'pakai', 'batik', 'kondangan', 'doang', 'mikirnya', 'kalo', 'pake', 'batik', 'pasti', 'abis', 'dari', 'kondangan', 'doang']",bersaing ngeluh sdm minim lunulis pulpen cina barang dirumah cina ko sok an lokal pride pakai batik kondangan doang mikirnya pake batik abis kondangan doang,bersaing mengeluh sdm minim lunulis pulpen cina barang dirumah cina ko sok an lokal pride pakai batik kondangan saja berfikirnya pakai batik habis kondangan saja,saing keluh sdm minim lunulis pulpen cina barang rumah cina ko sok an lokal pride pakai batik kondangan saja berfikirnya pakai batik habis kondangan saja
986,mnnajiib,"YUK TANTANG MAS DAN MBAK DIATAS UNTUK PAKAI BAJU PASAR KUALITAS 30RB KE MALL, ATAU HAJAT KELUARGA",YUK TANTANG MAS DAN MBAK DIATAS UNTUK PAKAI BAJU PASAR KUALITAS RB KE MALL  ATAU HAJAT KELUARGA,yuk tantang mas dan mbak diatas untuk pakai baju pasar kualitas rb ke mall  atau hajat keluarga,"['yuk', 'tantang', 'mas', 'dan', 'mbak', 'diatas', 'untuk', 'pakai', 'baju', 'pasar', 'kualitas', 'rb', 'ke', 'mall', 'atau', 'hajat', 'keluarga']",yuk tantang mas mbak diatas pakai baju pasar kualitas rb mall hajat keluarga,yuk tantang mas mbak diatas pakai baju pasar kualitas rb mall hajat keluarga,yuk tantang mas mbak atas pakai baju pasar kualitas rb mall hajat keluarga
987,yuandaranis,Baiknya emang cintai produk lokal. Tp sayangnya produk lokal kadang ga amanah kall beli onlen.. Kudu jeli,Baiknya emang cintai produk lokal  Tp sayangnya produk lokal kadang ga amanah kall beli onlen  Kudu jeli,baiknya emang cintai produk lokal  tp sayangnya produk lokal kadang ga amanah kall beli onlen  kudu jeli,"['baiknya', 'emang', 'cintai', 'produk', 'lokal', 'tp', 'sayangnya', 'produk', 'lokal', 'kadang', 'ga', 'amanah', 'kall', 'beli', 'onlen', 'kudu', 'jeli']",baiknya emang cintai produk lokal tp sayangnya produk lokal kadang amanah kall beli onlen kudu jeli,baiknya emang cintai produk lokal tetapi sayangnya produk lokal kadang amanah kall beli onlen kudu jeli,baik emang cinta produk lokal tetapi sayang produk lokal kadang amanah kall beli onlen kudu jeli
988,alifrevaldii,Apa cuma gua doang ya yg gatau thriftt haha,Apa cuma gua doang ya yg gatau thriftt haha,apa cuma gua doang ya yg gatau thriftt haha,"['apa', 'cuma', 'gua', 'doang', 'ya', 'yg', 'gatau', 'thriftt', 'haha']",gua doang gatau thriftt haha,saya saja tidak tau thriftt haha,saya saja tidak tau thriftt haha
989,nurulfahmii__,"Padahal suka banget sama thrift” gitu, soalnya bahan pakaiannya bagus😂",Padahal suka banget sama thrift  gitu  soalnya bahan pakaiannya bagus,padahal suka banget sama thrift  gitu  soalnya bahan pakaiannya bagus,"['padahal', 'suka', 'banget', 'sama', 'thrift', 'gitu', 'soalnya', 'bahan', 'pakaiannya', 'bagus']",suka banget thrift gitu bahan pakaiannya bagus,suka banget thrift begitu bahan pakaiannya bagus,suka banget thrift begitu bahan pakai bagus
990,wahid_sawaludin,Iyah merusak UMKM lokal,Iyah merusak UMKM lokal,iyah merusak umkm lokal,"['iyah', 'merusak', 'umkm', 'lokal']",iyah merusak umkm lokal,iya merusak umkm lokal,iya rusak umkm lokal
991,lazereyesss,tydaaacccckkkkkkk,tydaacckk,tydaacckk,['tydaacckk'],tydaacckk,tydaacckk,tydaacckk
